Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Tyler Lockett,0,0,0,0,0,0,0,0,0,0,15,200,3,0,0,0
Davante Adams,0,0,0,0,0,0,0,0,0,0,13,196,2,0,0,0
Diontae Johnson,0,0,0,0,0,0,0,0,0,0,9,80,2,0,0,0
A.J. Brown,0,0,0,0,0,0,0,0,0,0,6,153,1,0,0,0
Tyler Boyd,1,1,16,0,0,0,0,0,0,0,11,101,1,0,0,0
D.J. Moore,0,0,0,0,0,0,0,0,0,0,4,93,2,0,0,0
DeAndre Hopkins,0,0,0,0,0,0,0,0,0,0,10,103,1,0,1,0
Chris Godwin,0,0,0,0,0,0,0,0,0,0,9,88,1,0,0,0
Scott Miller,0,0,0,0,0,0,0,0,0,0,6,109,1,0,0,0
Terry McLaurin,0,0,0,0,0,0,0,0,0,0,7,90,1,0,0,0
Cole Beasley,0,0,0,0,0,0,0,0,0,0,11,112,0,0,0,0
Keenan Allen,0,0,0,0,0,0,0,0,0,0,10,125,0,0,0,0
Nelson Agholor,0,0,0,0,0,0,0,0,0,0,5,107,1,0,0,0
Christian Kirk,0,0,0,0,0,0,0,0,0,0,5,37,2,0,0,0
Calvin Ridley,0,0,0,0,0,0,0,0,0,0,5,69,1,1,0,0
Tee Higgins,0,0,0,0,0,0,1,7,0,0,5,71,1,0,0,0
JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,9,85,0,0,0,0
Sterling Shepard,0,0,0,0,0,0,0,0,0,0,6,59,1,0,0,0
Julio Jones,0,0,0,0,0,0,0,0,0,0,8,97,0,0,0,0
Tyreek Hill,0,0,0,0,0,0,0,0,0,0,6,55,1,0,0,0
Rashard Higgins,0,0,0,0,0,0,0,0,0,0,6,110,0,0,0,0
Kenny Golladay,0,0,0,0,0,0,0,0,0,0,6,114,0,0,0,0
Randall Cobb,0,0,0,0,0,0,0,0,0,0,8,95,0,0,0,0
Brandon Aiyuk,0,0,0,0,0,0,0,0,0,0,6,115,0,0,0,0
Curtis Samuel,0,0,0,0,0,0,1,5,1,0,6,48,0,0,0,0
Jalen Guyton,0,0,0,0,0,0,0,0,0,0,2,84,1,0,0,0
Greg Ward,0,0,0,0,0,0,0,0,0,0,5,42,1,0,0,0
Josh Reynolds,0,0,0,0,0,0,0,0,0,0,4,52,1,0,0,0
A.J. Green,0,0,0,0,0,0,0,0,0,0,7,82,0,0,0,0
Corey Davis,0,0,0,0,0,0,0,0,0,0,6,35,1,0,0,0
