Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Chase Claypool,0,0,0,0,0,0,3,6,1,0,7,110,3,0,0,0
Travis Fulgham,0,0,0,0,0,0,0,0,0,0,10,152,1,0,0,0
Brandin Cooks,0,0,0,0,0,0,0,0,0,0,8,161,1,0,0,0
Adam Thielen,0,0,0,0,0,0,1,3,0,0,9,80,2,0,0,0
Mike Williams,0,0,0,0,0,0,0,0,0,0,5,109,2,0,0,0
D.K. Metcalf,0,0,0,0,0,0,0,0,0,0,6,93,2,0,0,0
DeAndre Hopkins,0,0,0,0,0,0,0,0,0,0,6,131,1,0,0,0
Jamison Crowder,0,0,0,0,0,0,0,0,0,0,8,116,1,0,0,0
Emmanuel Sanders,0,0,0,0,0,0,0,0,0,0,12,122,0,0,0,0
Calvin Ridley,0,0,0,0,0,0,0,0,0,0,8,136,0,0,0,0
A.J. Brown,0,0,0,0,0,0,0,0,0,0,7,82,1,0,0,0
Preston Williams,0,0,0,0,0,0,0,0,0,0,4,106,1,0,0,0
Darius Slayton,0,0,0,0,0,0,0,0,0,0,8,129,0,0,0,0
CeeDee Lamb,0,0,0,0,0,0,0,0,0,0,8,124,0,0,0,0
Stefon Diggs,0,0,0,0,0,0,0,0,0,0,10,106,0,0,0,0
Henry Ruggs,0,0,0,0,0,0,0,0,0,0,2,118,1,0,0,0
Allen Robinson,0,0,0,0,0,0,0,0,0,0,10,90,0,0,0,0
D.J. Moore,0,0,0,0,0,0,0,0,0,0,4,93,1,0,0,0
Marquise Brown,0,0,0,0,0,0,1,1,0,0,6,77,1,0,0,0
Robby Anderson,0,0,0,0,0,0,1,3,0,0,8,112,0,0,0,0
Robert Woods,0,0,0,0,0,0,0,0,0,0,4,71,1,0,0,0
Tyreek Hill,0,0,0,0,0,0,3,15,1,0,3,78,0,0,0,0
Will Fuller,0,0,0,0,0,0,0,0,0,0,4,58,1,0,0,0
Mike Evans,0,0,0,0,0,0,0,0,0,0,5,41,1,0,0,0
Laviska Shenault,0,0,0,0,0,0,0,0,0,0,7,79,0,0,0,0
Nelson Agholor,0,0,0,0,0,0,0,0,0,0,2,67,1,0,0,0
DeVante Parker,0,0,0,0,0,0,0,0,0,0,2,50,1,0,0,0
Cedrick Wilson,1,1,11,1,0,0,0,0,0,0,4,22,0,0,0,0
Greg Ward,0,0,0,0,0,0,0,0,0,0,4,26,1,0,0,0
Jarvis Landry,0,0,0,0,0,0,0,0,0,0,4,88,0,0,0,0
Christian Kirk,0,0,0,0,0,0,0,0,0,0,5,78,0,0,0,0
Collin Johnson,0,0,0,0,0,0,0,0,0,0,3,30,1,0,0,0
T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,6,69,0,0,0,0
Rashard Higgins,0,0,0,0,0,0,0,0,0,0,3,31,1,0,0,0
Cooper Kupp,0,0,0,0,0,0,0,0,0,0,5,66,0,0,0,0
Michael Gallup,0,0,0,0,0,0,0,0,0,0,4,73,0,0,0,0
Kendrick Bourne,0,0,0,0,0,0,0,0,0,0,2,30,1,0,0,0
Cole Beasley,0,0,0,0,0,0,0,0,0,0,6,53,0,0,0,0
