Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Richie James,0,0,0,0,0,0,0,0,0,0,9,184,1,0,0,0
Davante Adams,0,0,0,0,0,0,0,0,0,0,10,173,1,0,0,0
Tyreek Hill,0,0,0,0,0,0,1,8,0,0,9,113,2,0,0,0
Jakobi Meyers,0,0,0,0,0,0,0,0,0,0,12,169,0,0,0,0
Breshad Perriman,0,0,0,0,0,0,0,0,0,0,5,101,2,0,0,0
D.J. Chark,0,0,0,0,0,0,0,0,0,0,7,146,1,0,0,0
Curtis Samuel,0,0,0,0,0,0,3,13,0,0,9,105,1,0,0,0
Jerry Jeudy,0,0,0,0,0,0,0,0,0,0,7,125,1,0,0,0
Keenan Allen,0,0,0,0,0,0,0,0,0,0,9,103,1,0,0,0
Terry McLaurin,0,0,0,0,0,0,0,0,0,0,7,115,1,0,0,0
D.K. Metcalf,0,0,0,0,0,0,0,0,0,0,7,108,1,0,0,0
Christian Kirk,0,0,0,0,0,0,0,0,0,0,5,123,1,0,0,0
JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,6,93,1,0,0,0
Will Fuller,0,0,0,0,0,0,0,0,0,0,5,100,1,0,0,0
Olamide Zaccheaus,0,0,0,0,0,0,0,0,0,0,4,103,1,0,0,0
Stefon Diggs,0,0,0,0,0,0,0,0,0,0,9,118,0,0,0,0
A.J. Brown,0,0,0,0,0,0,0,0,0,0,4,101,1,0,0,0
Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,2,53,2,0,0,0
David Moore,0,0,0,0,0,0,0,0,0,0,4,71,1,0,0,0
Gabriel Davis,0,0,0,0,0,0,0,0,0,0,4,70,1,0,0,0
Brandin Cooks,0,0,0,0,0,0,0,0,0,0,3,83,1,0,0,0
John Brown,0,0,0,0,0,0,0,0,0,0,8,99,0,0,0,0
Preston Williams,0,0,0,0,0,0,0,0,0,0,4,60,1,0,0,0
CeeDee Lamb,0,0,0,0,0,0,0,0,0,0,4,71,1,0,1,0
Julio Jones,0,0,0,0,0,0,0,0,0,0,5,54,1,0,0,0
Allen Robinson,0,0,0,0,0,0,0,0,0,0,7,81,0,0,0,0
Robby Anderson,0,0,0,0,0,0,0,0,0,0,9,63,0,0,0,0
Cam Sims,0,0,0,0,0,0,0,0,0,0,3,110,0,0,0,0
KJ Hamler,0,0,0,0,0,0,1,15,0,0,6,75,0,0,0,0
Chase Claypool,0,0,0,0,0,0,1,4,0,0,8,69,0,0,0,0
Danny Amendola,0,0,0,0,0,0,1,2,0,0,7,77,0,0,0,0
Mike Williams,0,0,0,0,0,0,0,0,0,0,5,81,0,0,0,0
Emmanuel Sanders,0,0,0,0,0,0,0,0,0,0,4,38,1,0,0,0
Marvin Jones,0,0,0,0,0,0,0,0,0,0,3,43,1,0,0,0
Diontae Johnson,0,0,0,0,0,0,1,4,0,0,6,77,0,0,0,0
Nelson Agholor,0,0,0,0,0,0,0,0,0,0,2,55,1,0,0,0
Tim Patrick,0,0,0,0,0,0,0,0,0,0,4,29,1,0,0,0
DeVante Parker,0,0,0,0,0,0,0,0,0,0,6,64,0,0,0,0
Chris Conley,0,0,0,0,0,0,0,0,0,0,7,52,0,0,0,0
Demarcus Robinson,0,0,0,0,0,0,0,0,0,0,3,34,1,0,1,0
Austin Mack,0,0,0,0,0,0,0,0,0,0,4,72,0,0,0,0
Amari Cooper,0,0,0,0,0,0,1,8,0,0,5,67,0,0,0,0
Damiere Byrd,0,0,0,0,0,0,0,0,0,0,5,65,0,0,0,0
Michael Thomas,0,0,0,0,0,0,0,0,0,0,5,51,0,0,0,0
Sterling Shepard,0,0,0,0,0,0,1,18,0,0,6,39,0,0,0,0
Zach Pascal,0,0,0,0,0,0,0,0,0,0,5,55,0,0,0,0
Denzel Mims,0,0,0,0,0,0,0,0,0,0,4,62,0,0,0,0
Mike Evans,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0
