Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Irv Smith,0,0,0,0,0,0,0,0,0,0,6,53,2,0,0,0
Travis Kelce,0,0,0,0,0,0,0,0,0,0,7,98,1,0,0,0
Jimmy Graham,0,0,0,0,0,0,0,0,0,0,4,69,2,0,0,0
Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,2,58,2,0,0,0
Darren Waller,0,0,0,0,0,0,0,0,0,0,5,112,0,0,0,0
Hayden Hurst,0,0,0,0,0,0,0,0,0,0,5,47,1,0,0,0
Eric Ebron,0,0,0,0,0,0,0,0,0,0,5,47,1,0,0,0
Austin Hooper,0,0,0,0,0,0,0,0,0,0,7,71,0,0,0,0
Logan Thomas,0,0,0,0,0,0,1,0,0,0,7,63,0,0,0,0
George Kittle,0,0,0,0,0,0,0,0,0,0,4,92,0,0,0,0
Chris Herndon IV,0,0,0,0,0,0,0,0,0,0,4,34,1,0,0,0
Evan Engram,0,0,0,0,0,0,1,5,0,0,7,65,0,0,0,0
Mark Andrews,0,0,0,0,0,0,0,0,0,0,6,76,0,0,0,0
Jonnu Smith,0,0,0,0,0,0,0,0,0,0,3,30,1,0,0,0
Noah Fant,0,0,0,0,0,0,0,0,0,0,6,65,0,0,0,0
Lee Smith,0,0,0,0,0,0,0,0,0,0,2,31,1,0,0,0
Jared Cook,0,0,0,0,0,0,0,0,0,0,3,82,0,0,0,0
Jacob Hollister,0,0,0,0,0,0,0,0,0,0,2,17,1,0,0,0
Taysom Hill,2,2,8,0,0,0,5,18,1,0,1,19,0,0,0,0
Mike Gesicki,0,0,0,0,0,0,0,0,0,0,4,54,0,0,0,0
Darren Fells,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,0
Jack Doyle,0,0,0,0,0,0,0,0,0,0,4,50,0,0,0,0
Dawson Knox,0,0,0,0,0,0,0,0,0,0,3,51,0,0,0,0
Stephen Anderson,0,0,0,0,0,0,0,0,0,0,4,48,0,0,0,0
Drew Sample,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0
Tyler Conklin,0,0,0,0,0,0,0,0,0,0,4,31,0,0,0,0
Jordan Akins,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0
Adam Trautman,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,0
Donald Parham,0,0,0,0,0,0,0,0,0,0,2,47,0,0,0,0
David Njoku,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0
T.J. Hockenson,0,0,0,0,0,0,0,0,0,0,4,23,0,0,0,0
Tyler Higbee,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0
Dallas Goedert,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0
Zach Ertz,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0
Harrison Bryant,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
Dalton Schultz,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0
Will Dissly,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
Trey Burton,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
Cameron Brate,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0
Dan Arnold,0,0,0,0,0,0,0,0,0,0,3,25,0,0,1,0
Jason Witten,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
James O'Shaughnessy,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
Cole Kmet,0,0,0,0,0,0,1,-3,0,0,2,18,0,0,0,0
Tanner Hudson,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
Gerald Everett,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
Tyler Eifert,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Pharaoh Brown,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0
Mo Alie-Cox,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
Deon Yelder,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Robert Tonyan,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
Durham Smythe,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0
Greg Olsen,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
Anthony Firkser,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Dominique Dafney,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Daniel Brown,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Kahale Warring,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Luke Stocker,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Adam Shaheen,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Vance McDonald,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Darrell Daniels,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Blake Bell,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
