Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Cleveland Browns,5,2,1,1,0,1,17,209,106,315
Pittsburgh Steelers,2,4,0,0,0,0,3,133,73,206
New Orleans Saints,8,2,0,0,0,0,9,196,52,248
Carolina Panthers,5,0,0,1,0,0,0,145,40,185
Denver Broncos,6,1,0,0,0,0,13,167,56,223
Washington Football Team,4,1,0,1,0,0,9,202,70,272
Detroit Lions,1,2,0,0,0,0,20,258,116,374
Indianapolis Colts,1,1,0,3,0,0,31,301,66,367
Los Angeles Chargers,1,1,0,0,0,1,28,196,96,292
New York Jets,3,0,1,1,1,0,34,347,29,376
Cincinnati Bengals,2,1,0,0,0,0,20,161,164,325
Miami Dolphins,0,1,0,1,0,0,20,270,189,459
Philadelphia Eagles,3,0,0,1,1,0,22,187,137,324
Atlanta Falcons,3,0,0,1,0,0,24,210,166,376
Dallas Cowboys,2,0,0,2,0,0,28,305,125,430
Houston Texans,2,0,0,0,0,0,20,349,86,435
Los Angeles Rams,1,2,0,0,0,0,24,209,42,251
Seattle Seahawks,3,0,1,0,0,0,21,257,57,314
Green Bay Packers,1,1,0,1,0,0,34,280,140,420
Minnesota Vikings,1,1,0,0,1,0,31,196,180,376
Tampa Bay Buccaneers,0,2,0,0,0,0,27,376,37,413
Baltimore Ravens,2,1,0,0,0,0,30,250,173,423
Tennessee Titans,1,1,0,0,0,0,24,177,129,306
Arizona Cardinals,3,0,0,0,0,0,28,182,165,347
Jacksonville Jaguars,0,1,0,0,0,0,27,267,106,373
Kansas City Chiefs,0,1,0,0,0,0,31,275,89,364
Las Vegas Raiders,0,1,0,0,0,0,35,352,108,460
New England Patriots,0,0,0,0,0,0,27,344,55,399
