Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Harrison Bryant,0,0,0,0,0,0,0,0,0,0,4,56,2,0,0,0
Darren Waller,0,0,0,0,0,0,0,0,0,0,6,50,1,0,0,0
Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,5,62,1,0,0,0
Logan Thomas,0,0,0,0,0,0,0,0,0,0,4,60,1,0,0,0
T.J. Hockenson,0,0,0,0,0,0,0,0,0,0,5,59,1,0,0,0
Richard Rodgers,0,0,0,0,0,0,0,0,0,0,6,85,0,0,0,0
Albert Okwuegbunam,0,0,0,0,0,0,0,0,0,0,7,60,0,0,0,0
Hayden Hurst,0,0,0,0,0,0,0,0,0,0,6,68,0,0,0,0
Gerald Everett,0,0,0,0,0,0,0,0,0,0,4,28,1,0,0,0
Jared Cook,0,0,0,0,0,0,0,0,0,0,3,32,1,0,0,0
Eric Ebron,0,0,0,0,0,0,0,0,0,0,6,50,0,0,0,0
Drew Sample,0,0,0,0,0,0,0,0,0,0,5,52,0,0,0,0
David Njoku,0,0,0,0,0,0,0,0,0,0,2,20,1,0,0,0
Tyler Kroft,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0
George Kittle,0,0,0,0,0,0,0,0,0,0,5,55,0,0,0,0
Evan Engram,0,0,0,0,0,0,2,3,0,0,6,46,0,0,0,0
Donald Parham,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,0
Virgil Green,0,0,0,0,0,0,0,0,0,0,1,26,1,0,0,0
Jimmy Graham,0,0,0,0,0,0,0,0,0,0,5,31,0,0,0,0
Jace Sternberger,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0
John Mundt,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0
Dan Arnold,0,0,0,0,0,0,0,0,0,0,2,57,0,0,0,0
James O'Shaughnessy,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
Cole Kmet,0,0,0,0,0,0,0,0,0,0,2,45,0,0,0,0
Travis Kelce,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
Noah Fant,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0
Robert Tonyan,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0
Jacob Hollister,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0
Hunter Henry,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
Will Dissly,0,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0
Nick Vannett,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0
Dalton Schultz,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
Nick Keizer,0,0,0,0,0,0,0,0,0,0,2,36,0,0,1,0
Greg Olsen,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
Vance McDonald,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Demetrius Harris,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
Ian Thomas,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Tanner Hudson,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Reggie Gilliam,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
Anthony Firkser,0,0,0,0,0,0,0,0,0,0,2,7,0,0,0,0
Ben Ellefson,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jason Witten,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Jeremy Sprinkle,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Jonnu Smith,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Isaac Nauta,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Marcedes Lewis,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Dalton Keene,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Ryan Izzo,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Josh Hill,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cameron Brate,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
