Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Virgil Green,0,0,0,0,0,0,0,0,0,0,3,50,1,0,0,0
Luke Stocker,0,0,0,0,0,0,0,0,0,0,7,63,0,0,0,0
Devin Asiasi,0,0,0,0,0,0,0,0,0,0,2,39,1,0,0,0
Dominique Dafney,0,0,0,0,0,0,0,0,0,0,2,26,1,0,0,0
Nick Keizer,0,0,0,0,0,0,0,0,0,0,6,63,0,0,1,0
Demetrius Harris,0,0,0,0,0,0,0,0,0,0,7,45,0,0,0,0
Reggie Gilliam,0,0,0,0,0,0,0,0,0,0,2,16,1,0,0,0
Cethan Carter,0,0,0,0,0,0,0,0,0,0,5,53,0,0,0,0
Deon Yelder,0,0,0,0,0,0,0,0,0,0,7,36,0,0,0,0
Levine Toilolo,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0
John Mundt,0,0,0,0,0,0,0,0,0,0,4,53,0,0,0,0
Chris Manhertz,0,0,0,0,0,0,0,0,0,0,6,52,0,0,0,0
Colin Thompson,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0
Jordan Thomas,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0
Jason Croom,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0
Charlie Woerner,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
Kahale Warring,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
Tanner Hudson,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
Hunter Bryant,0,0,0,0,0,0,0,0,0,0,1,44,0,0,0,0
Jaeden Graham,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
Ben Ellefson,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0
