Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Deshaun Watson,37,28,335,4,0,0,4,26,0,0,0,0,0,0,0,0
Matt Ryan,40,30,371,4,0,0,4,8,0,0,0,0,0,0,0,0
Ryan Tannehill,41,30,364,4,1,1,0,0,0,0,0,0,0,0,1,0
Carson Wentz,40,21,213,2,0,2,5,49,1,0,0,0,0,0,1,0
Kyler Murray,24,9,188,2,0,0,10,74,1,0,0,0,0,0,0,0
Philip Rivers,44,29,371,3,1,0,1,-1,0,0,0,0,0,0,0,0
Lamar Jackson,27,16,186,1,0,0,9,108,1,0,0,0,0,0,0,0
Kirk Cousins,36,24,343,3,3,2,0,0,0,0,0,0,0,0,0,0
Jimmy Garoppolo,33,23,268,3,0,0,4,8,0,0,0,0,0,0,0,0
Patrick Mahomes,26,21,225,2,0,0,10,36,0,0,0,0,0,0,0,0
Ryan Fitzpatrick,27,18,191,3,2,0,1,4,0,0,0,0,0,0,0,0
Kyle Allen,42,31,280,2,1,0,2,8,0,0,0,0,0,0,1,0
Gardner Minshew,44,25,243,1,1,0,3,14,1,0,1,0,0,0,1,0
Jared Goff,38,19,198,2,1,0,1,10,0,0,0,0,0,0,0,0
Tom Brady,27,17,166,2,0,0,0,0,0,0,0,0,0,0,0,0
Josh Allen,27,14,122,2,1,0,8,42,0,0,0,0,0,0,0,0
Nick Foles,39,23,198,1,1,0,5,4,1,0,0,0,0,0,0,0
Cam Newton,25,17,157,0,2,0,10,76,1,0,1,16,0,0,0,0
Joe Burrow,39,25,313,0,1,0,3,2,1,0,0,0,0,0,0,0
Daniel Jones,19,12,112,1,1,0,7,74,0,0,0,0,0,0,0,0
Matthew Stafford,31,19,223,1,1,0,5,14,0,0,0,0,0,0,0,0
Ben Roethlisberger,22,14,162,1,0,0,3,5,0,0,0,0,0,0,0,0
Andy Dalton,54,34,266,1,2,0,2,4,0,0,0,0,0,0,0,0
Teddy Bridgewater,29,16,216,0,2,0,8,48,0,0,0,0,0,0,0,0
Baker Mayfield,18,10,119,1,2,0,1,5,0,0,0,0,0,0,0,0
Joe Flacco,44,21,186,0,1,0,1,0,0,0,0,0,0,0,0,0
Aaron Rodgers,35,16,160,0,2,0,2,14,0,0,0,0,0,0,0,0
Drew Lock,24,10,189,0,2,0,5,-1,0,0,0,0,0,0,0,0
Jalen Hurts,0,0,0,0,0,0,2,23,0,0,1,3,0,0,0,0
Case Keenum,10,5,46,0,0,0,0,0,0,0,0,0,0,0,0,0
Tua Tagovailoa,2,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Rudolph,1,1,6,0,0,0,3,-3,0,0,0,0,0,0,0,0
Blaine Gabbert,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
