Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Keenan Allen,0,0,0,0,0,0,0,0,0,0,16,145,1,0,1,0
Adam Thielen,0,0,0,0,0,0,0,0,0,0,8,123,2,0,0,0
Robert Woods,0,0,0,0,0,0,2,-4,0,0,12,130,1,0,0,0
Tyreek Hill,0,0,0,0,0,0,2,-2,0,0,11,102,1,0,0,0
Damiere Byrd,0,0,0,0,0,0,1,11,0,0,6,132,1,0,0,0
Cooper Kupp,0,0,0,0,0,0,0,0,0,0,11,145,0,0,0,0
Diontae Johnson,0,0,0,0,0,0,0,0,0,0,12,111,0,0,0,0
Davante Adams,0,0,0,0,0,0,0,0,0,0,7,106,1,0,0,0
Curtis Samuel,0,0,0,0,0,0,1,4,0,0,8,70,1,0,0,0
D.J. Moore,1,0,0,0,0,0,1,21,0,0,7,127,0,0,0,0
Tyler Lockett,0,0,0,0,0,0,0,0,0,0,9,67,1,0,0,0
Nelson Agholor,0,0,0,0,0,0,0,0,0,0,6,88,1,0,0,0
Michael Thomas,0,0,0,0,0,0,0,0,0,0,9,104,0,0,0,0
DeVante Parker,0,0,0,0,0,0,0,0,0,0,6,61,1,0,0,0
Chris Godwin,0,0,0,0,0,0,0,0,0,0,7,53,1,0,0,0
Mike Williams,0,0,0,0,0,0,0,0,0,0,4,72,1,0,0,0
Justin Jefferson,0,0,0,0,0,0,0,0,0,0,3,86,1,0,0,0
Tyler Boyd,0,0,0,0,0,0,0,0,0,0,9,85,0,0,0,0
Tim Patrick,0,0,0,0,0,0,0,0,0,0,5,119,0,0,0,0
CeeDee Lamb,0,0,0,0,0,0,2,12,0,1,4,34,1,0,0,0
Corey Davis,0,0,0,0,0,0,0,0,0,0,5,113,0,0,0,0
A.J. Brown,0,0,0,0,0,0,0,0,0,0,4,62,1,0,0,0
Michael Pittman,0,0,0,0,0,0,0,0,0,0,3,66,1,0,0,0
Mike Evans,0,0,0,0,0,0,0,0,0,0,5,49,1,0,0,0
Chase Claypool,0,0,0,0,0,0,0,0,0,0,4,59,1,0,0,0
Calvin Ridley,0,0,0,0,0,0,0,0,0,0,5,90,0,0,0,0
A.J. Green,0,0,0,0,0,0,0,0,0,0,4,41,1,0,0,0
Will Fuller,0,0,0,0,0,0,0,0,0,0,6,80,0,0,0,0
