Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Carolina Panthers,3,2,0,2,0,1,13,278,108,386
Tampa Bay Buccaneers,4,1,0,1,0,0,7,113,73,186
San Francisco 49ers,3,1,0,1,0,0,12,230,120,350
Baltimore Ravens,6,0,0,0,0,0,13,215,54,269
Dallas Cowboys,3,2,0,1,0,0,17,326,151,477
New York Jets,4,0,0,2,0,0,16,254,45,299
Seattle Seahawks,3,1,0,0,0,0,9,216,118,334
Washington Football Team,4,1,0,1,0,0,20,167,113,280
Buffalo Bills,3,0,0,0,0,0,9,56,145,201
Green Bay Packers,2,2,0,0,0,0,14,104,156,260
Kansas City Chiefs,4,0,0,1,0,0,14,277,90,367
Los Angeles Chargers,2,2,0,0,0,0,16,263,133,396
Pittsburgh Steelers,5,1,0,1,0,0,24,238,127,365
Arizona Cardinals,3,0,0,1,0,0,20,171,227,398
Chicago Bears,1,2,0,0,0,0,17,203,76,279
Los Angeles Rams,5,0,0,0,0,0,20,197,95,292
Atlanta Falcons,0,2,0,0,0,0,17,278,117,395
Detroit Lions,2,0,0,0,0,1,47,477,111,588
Cleveland Browns,2,0,0,0,2,0,23,202,131,333
Denver Broncos,2,0,0,0,0,0,19,227,89,316
Miami Dolphins,3,0,0,1,0,0,25,314,104,418
Las Vegas Raiders,3,0,0,0,0,0,26,253,130,383
Minnesota Vikings,0,2,0,0,0,0,52,319,264,583
Philadelphia Eagles,2,1,0,0,0,0,37,362,151,513
Cincinnati Bengals,1,0,0,1,0,0,31,322,166,488
Jacksonville Jaguars,1,1,0,0,0,0,41,263,128,391
New York Giants,0,0,0,1,0,0,27,183,249,432
Tennessee Titans,1,1,0,0,0,0,40,214,234,448
New Orleans Saints,2,0,0,0,0,0,33,274,90,364
Indianapolis Colts,1,0,0,0,0,0,28,332,22,354
Houston Texans,0,0,0,0,0,0,37,371,169,540
New England Patriots,0,0,0,0,0,0,38,344,130,474
