Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Odell Beckham Jr.,0,0,0,0,0,0,2,73,1,0,5,81,2,0,0,0
Amari Cooper,0,0,0,0,0,0,0,0,0,1,12,134,1,0,0,0
D.J. Chark,0,0,0,0,0,0,0,0,0,0,8,95,2,0,0,0
Adam Thielen,0,0,0,0,0,0,1,8,0,0,8,114,1,0,0,0
Mike Evans,0,0,0,0,0,0,0,0,0,0,7,122,1,0,0,0
CeeDee Lamb,0,0,0,0,0,0,1,3,0,0,5,79,2,0,0,0
Allen Robinson,0,0,0,0,0,0,0,0,0,0,7,101,1,0,0,0
Tim Patrick,0,0,0,0,0,0,0,0,0,0,6,113,1,0,0,0
Will Fuller,0,0,0,0,0,0,0,0,0,0,6,108,1,0,0,0
Tre'Quan Smith,0,0,0,0,0,0,0,0,0,0,4,54,2,0,0,0
DeVante Parker,0,0,0,0,0,0,0,0,0,0,10,110,0,0,0,0
Terry McLaurin,0,0,0,0,0,0,0,0,0,0,10,118,0,0,0,0
Scott Miller,0,0,0,0,0,0,0,0,0,0,5,83,1,0,0,0
David Moore,0,0,0,0,0,0,0,0,0,0,3,95,1,0,0,0
Cooper Kupp,0,0,0,0,0,0,1,-2,0,0,5,69,1,0,0,0
Stefon Diggs,0,0,0,0,0,0,0,0,0,0,6,115,0,0,0,0
Jamison Crowder,0,0,0,0,0,0,0,0,0,0,7,104,0,0,0,0
Robby Anderson,0,0,0,0,0,0,0,0,0,0,8,99,0,0,0,0
Olamide Zaccheaus,0,0,0,0,0,0,0,0,0,0,8,86,0,0,0,0
Jarvis Landry,1,1,37,1,0,0,0,0,0,0,5,48,0,0,0,0
Tyreek Hill,0,0,0,0,0,0,0,0,0,0,4,64,1,0,0,0
Kenny Golladay,0,0,0,0,0,0,0,0,0,0,4,62,1,0,0,0
Tyler Boyd,0,0,0,0,0,0,1,4,0,0,7,90,0,0,0,0
Jeff Smith,0,0,0,0,0,0,0,0,0,0,7,81,0,0,0,0
Emmanuel Sanders,0,0,0,0,0,0,0,0,0,0,6,93,0,0,0,0
D.K. Metcalf,0,0,0,0,0,0,0,0,0,0,4,106,0,0,0,0
Jerry Jeudy,0,0,0,0,0,0,0,0,0,0,2,61,1,0,0,0
Justin Jefferson,0,0,0,0,0,0,0,0,0,0,4,103,0,0,0,0
Jalen Guyton,0,0,0,0,0,0,0,0,0,0,1,72,1,0,0,0
Keenan Allen,0,0,0,0,0,0,0,0,0,0,8,62,0,0,0,0
Nelson Agholor,0,0,0,0,0,0,0,0,0,0,4,44,1,0,0,0
Laviska Shenault,0,0,0,0,0,0,1,5,0,0,5,86,0,0,0,0
Travis Fulgham,0,0,0,0,0,0,0,0,0,0,2,57,1,0,0,0
Damiere Byrd,0,0,0,0,0,0,0,0,0,0,5,80,0,0,0,0
Tyron Johnson,0,0,0,0,0,0,0,0,0,0,1,53,1,0,0,0
Tee Higgins,0,0,0,0,0,0,1,13,0,0,4,77,0,0,0,0
Mecole Hardman,0,0,0,0,0,0,0,0,0,0,4,27,1,0,0,0
Marquise Brown,0,0,0,0,0,0,0,0,0,0,4,86,0,0,0,0
Cole Beasley,0,0,0,0,0,0,0,0,0,0,3,32,1,0,0,0
Brandon Aiyuk,0,0,0,0,0,0,1,38,1,0,2,18,0,0,0,0
Kenny Stills,0,0,0,0,0,0,0,0,0,0,2,39,1,0,0,0
DeAndre Hopkins,0,0,0,0,0,0,0,0,0,0,7,41,0,0,0,0
N'Keal Harry,0,0,0,0,0,0,0,0,0,0,3,21,1,0,0,0
Hunter Renfrow,0,0,0,0,0,0,0,0,0,0,5,57,0,0,0,0
Darnell Mooney,0,0,0,0,0,0,1,-3,0,0,5,52,0,0,0,0
Christian Kirk,0,0,0,0,0,0,0,0,0,0,3,19,1,0,0,0
Robert Woods,0,0,0,0,0,0,1,2,0,0,6,36,0,0,0,0
Gabriel Davis,0,0,0,0,0,0,0,0,0,0,1,26,1,0,0,0
Justin Watson,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0
Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,4,45,0,0,0,0
Curtis Samuel,0,0,0,0,0,0,2,-3,0,0,3,51,0,0,0,0
Zach Pascal,0,0,0,0,0,0,0,0,0,0,3,58,0,0,0,0
D.J. Moore,0,0,0,0,0,0,0,0,0,0,4,49,0,0,0,0
Isaiah Ford,0,0,0,0,0,0,0,0,0,0,4,48,0,0,0,0
Keelan Cole,0,0,0,0,0,0,0,0,0,0,4,46,0,0,0,0
Noah Brown,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
John Brown,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
Sammy Watkins,0,0,0,0,0,0,0,0,0,0,4,43,0,0,1,0
Greg Ward,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0
Darius Slayton,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0
Deebo Samuel,0,0,0,0,0,0,1,10,0,0,3,35,0,0,0,0
Zay Jones,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0
Julio Jones,0,0,0,0,0,0,0,0,0,0,4,32,0,0,0,0
Chris Conley,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0
Christian Blake,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,0
Danny Amendola,0,0,0,0,0,0,0,0,0,0,2,57,0,0,0,0
Isaiah Wright,0,0,0,0,0,0,1,9,0,0,4,20,0,0,0,0
Cedrick Wilson,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0
Golden Tate,0,0,0,0,0,0,0,0,0,0,4,20,0,0,0,0
Damion Ratley,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0
Dontrelle Inman,0,0,0,0,0,0,0,0,0,0,4,29,0,0,0,0
Chris Hogan,0,0,0,0,0,0,0,0,0,0,4,23,0,0,0,0
Jakeem Grant,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
Julian Edelman,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
Kendrick Bourne,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0
Freddie Swain,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0
Josh Reynolds,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
Tyler Lockett,0,0,0,0,0,0,0,0,0,0,2,39,0,0,0,0
T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
Randall Cobb,0,0,0,0,0,0,0,0,0,0,2,36,0,0,0,0
Preston Williams,0,0,0,0,0,0,0,0,0,0,1,15,0,1,0,0
Willie Snead,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
Darrius Shepherd,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
Anthony Miller,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
John Hightower,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
Michael Gallup,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0
Russell Gage,0,0,0,0,0,0,1,-2,0,0,2,22,0,0,0,0
Miles Boykin,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
Malik Taylor,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
Cam Sims,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Isaiah McKenzie,0,0,0,0,0,0,2,11,0,0,1,18,0,0,0,0
Marcus Johnson,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0
Deonte Harris,0,0,0,0,0,0,2,10,0,0,1,10,0,0,0,0
Ted Ginn Jr.,0,0,0,0,0,0,0,0,0,0,2,11,0,0,0,0
Auden Tate,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
Seth Roberts,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Gunner Olszewski,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Andy Isabella,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0
Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0
Marquez Callaway,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
Mike Thomas,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Andre Roberts,0,0,0,0,0,0,1,-3,0,0,1,6,0,0,0,0
Cordarrelle Patterson,0,0,0,0,0,0,3,5,0,0,1,0,0,0,0,0
Marvin Jones,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Taysom Hill,0,0,0,0,0,0,3,6,0,0,1,8,0,0,0,0
DaeSean Hamilton,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
A.J. Green,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Alex Erickson,0,0,0,0,0,0,1,7,0,0,1,9,0,0,0,0
Devin Duvernay,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Isaiah Zuber,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0
Lynn Bowden,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0
C.J. Board,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
DeAndre Carter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
