Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Tyler Lockett,0,0,0,0,0,0,0,0,0,0,9,100,3,0,0,0
Keenan Allen,0,0,0,0,0,0,0,0,0,0,13,132,1,0,1,0
Justin Jefferson,0,0,0,0,0,0,0,0,0,0,7,175,1,0,0,0
Allen Robinson,0,0,0,0,0,0,0,0,0,0,10,123,1,0,0,0
Cedrick Wilson,0,0,0,0,0,0,0,0,0,0,5,107,2,0,0,0
Allen Lazard,0,0,0,0,0,0,1,-2,0,0,6,146,1,0,0,0
Cooper Kupp,0,0,0,0,0,0,0,0,0,0,9,107,1,0,0,0
Michael Gallup,0,0,0,0,0,0,0,0,0,0,6,138,1,0,0,0
DeAndre Hopkins,0,0,0,0,0,0,0,0,0,0,10,137,0,0,0,0
Tyler Boyd,0,0,0,0,0,0,0,0,0,0,10,125,0,0,0,0
Robert Woods,0,0,0,0,0,0,3,30,0,0,5,74,1,0,0,0
Greg Ward,0,0,0,0,0,0,1,-6,0,0,8,72,1,0,0,0
Tee Higgins,0,0,0,0,0,0,0,0,0,0,5,40,2,0,0,0
Brandon Aiyuk,0,0,0,0,0,0,3,31,1,0,5,70,0,0,0,0
Hunter Renfrow,0,0,0,0,0,0,0,0,0,0,6,84,1,0,0,0
D.K. Metcalf,0,0,0,0,0,0,0,0,0,0,4,110,1,0,1,0
Andy Isabella,0,0,0,0,0,0,1,-6,0,0,4,47,2,0,0,0
Tyreek Hill,0,0,0,0,0,0,2,25,0,0,5,77,1,0,0,0
Randall Cobb,0,0,0,0,0,0,0,0,0,0,4,95,1,0,0,0
Dontrelle Inman,0,0,0,0,0,0,0,0,0,0,3,38,2,0,0,0
Mecole Hardman,0,0,0,0,0,0,0,0,0,0,4,81,1,0,0,0
Kenny Golladay,0,0,0,0,0,0,0,0,0,0,6,57,1,0,0,0
Chris Godwin,0,0,0,0,0,0,0,0,0,0,5,64,1,0,0,0
Amari Cooper,0,0,0,0,0,0,0,0,0,0,9,86,0,0,0,0
JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,4,43,1,1,0,0
Calvin Ridley,0,0,0,0,0,0,1,7,0,0,5,110,0,0,0,0
Braxton Berrios,0,0,0,0,0,0,0,0,0,0,4,64,1,0,0,0
Cole Beasley,0,0,0,0,0,0,0,0,0,0,6,100,0,0,0,0
Emmanuel Sanders,0,0,0,0,0,0,0,0,0,0,4,56,1,0,0,0
Will Fuller,0,0,0,0,0,0,0,0,0,0,4,54,1,0,0,0
Kalif Raymond,0,0,0,0,0,0,1,-3,0,0,3,118,0,0,0,0
Tim Patrick,0,0,0,0,0,0,0,0,0,0,4,43,1,0,0,0
Mike Evans,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,0
Stefon Diggs,0,0,0,0,0,0,0,0,0,0,4,49,1,0,0,0
Sammy Watkins,0,0,0,0,0,0,0,0,0,0,7,62,0,0,0,0
Anthony Miller,0,0,0,0,0,0,1,9,0,0,2,41,1,0,0,0
Terry McLaurin,0,0,0,0,0,0,1,3,0,0,4,83,0,0,0,0
Gabriel Davis,0,0,0,0,0,0,0,0,0,0,4,81,0,0,0,0
Adam Thielen,0,0,0,0,0,0,1,4,0,0,3,29,1,0,0,0
DeVante Parker,0,0,0,0,0,0,0,0,0,0,5,69,0,0,0,0
Scott Miller,0,0,0,0,0,0,0,0,0,0,3,83,0,0,0,0
CeeDee Lamb,0,0,0,0,0,0,1,1,0,0,5,65,0,0,0,0
Corey Davis,0,0,0,0,0,0,0,0,0,0,5,69,0,0,0,0
Jerry Jeudy,0,0,0,0,0,0,0,0,0,0,5,55,0,0,0,0
