Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Kansas City Chiefs,2,3,0,1,0,1,10,172,185,357
Philadelphia Eagles,5,2,0,1,0,1,20,301,116,417
Los Angeles Rams,5,1,0,0,0,0,9,159,136,295
New York Jets,0,3,0,0,0,1,37,242,117,359
Indianapolis Colts,1,1,0,0,0,0,11,241,28,269
Baltimore Ravens,3,0,0,1,0,0,17,274,69,343
Cleveland Browns,3,1,0,2,0,0,38,481,85,566
Green Bay Packers,4,0,0,0,0,0,16,249,78,327
Los Angeles Chargers,0,1,0,0,0,1,38,369,115,484
New York Giants,2,0,0,1,0,0,17,182,58,240
Buffalo Bills,2,0,0,2,0,0,23,297,86,383
Cincinnati Bengals,3,1,0,0,0,0,25,340,89,429
Denver Broncos,6,0,0,0,0,0,28,192,129,321
Minnesota Vikings,3,0,0,1,0,0,23,290,96,386
San Francisco 49ers,3,1,0,0,0,0,25,174,93,267
Seattle Seahawks,1,2,0,0,0,0,23,312,103,415
Tampa Bay Buccaneers,2,1,0,1,0,0,31,278,46,324
Chicago Bears,1,0,0,0,0,0,19,186,103,289
New Orleans Saints,3,1,0,0,0,0,29,191,90,281
Washington Football Team,1,2,0,0,0,0,31,206,144,350
Carolina Panthers,1,0,0,1,0,0,21,133,129,262
Detroit Lions,2,1,0,0,0,0,35,228,164,392
Miami Dolphins,2,1,0,0,0,0,31,343,98,441
New England Patriots,1,0,0,1,0,0,26,229,94,323
Houston Texans,3,0,0,0,0,0,31,248,162,410
Jacksonville Jaguars,1,1,0,0,0,0,33,300,205,505
Arizona Cardinals,0,1,0,0,0,0,31,276,168,444
Dallas Cowboys,2,0,0,0,0,0,49,201,307,508
Atlanta Falcons,1,0,0,0,0,0,30,315,88,403
Las Vegas Raiders,1,0,0,0,0,0,30,274,63,337
