Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Cam Newton,30,21,242,3,0,0,11,79,0,0,1,19,1,0,0,0
Kirk Cousins,40,28,405,3,0,0,5,1,1,0,0,0,0,0,0,0
Justin Herbert,31,22,302,3,0,1,6,9,1,0,0,0,0,0,0,0
Tom Brady,41,26,399,4,1,0,5,3,0,0,0,0,0,0,0,0
Aaron Rodgers,24,19,240,4,0,0,1,4,0,0,0,0,0,0,0,0
Deshaun Watson,39,28,365,3,1,0,3,12,0,0,0,0,0,0,0,0
Ryan Tannehill,27,18,216,1,0,0,7,38,2,0,0,0,0,0,0,0
Lamar Jackson,18,10,113,3,1,0,11,97,0,0,0,0,0,0,0,0
Matthew Stafford,31,20,293,3,1,0,2,9,0,0,0,0,0,0,0,0
Matt Ryan,44,29,265,2,0,0,3,1,1,0,0,0,0,0,1,0
Drew Lock,41,25,339,2,0,1,2,7,0,0,0,0,0,0,0,0
Drew Brees,32,22,201,3,0,0,0,0,0,0,0,0,0,0,0,0
Derek Carr,38,24,371,2,2,1,2,1,0,0,0,0,0,0,0,0
Josh Allen,25,18,224,3,1,0,2,3,0,0,0,0,0,0,0,0
Mason Rudolph,39,22,315,2,1,0,1,1,0,0,0,0,0,0,0,0
Russell Wilson,36,20,181,2,0,0,5,29,0,0,0,0,0,0,0,0
Mike Glennon,42,26,261,2,0,0,1,2,0,0,0,0,0,0,1,0
Chad Henne,32,23,218,2,0,0,2,0,0,0,0,0,0,0,0,0
Daniel Jones,25,17,229,2,1,0,9,17,0,0,0,0,0,0,1,0
Baker Mayfield,27,17,196,1,0,0,6,44,0,0,0,0,0,0,0,0
Tua Tagovailoa,58,35,361,1,3,0,6,28,0,0,0,0,0,0,0,0
C.J. Beathard,37,25,273,1,0,0,3,10,0,0,0,0,0,0,1,0
Jalen Hurts,20,7,72,0,1,0,8,34,2,0,0,0,0,0,0,0
Alex Smith,32,22,162,2,2,0,1,0,0,0,0,0,0,0,0,0
John Wolford,38,22,231,0,1,0,6,56,0,0,0,0,0,0,0,0
Philip Rivers,27,17,164,1,1,1,2,-2,0,0,0,0,0,0,0,0
Sam Darnold,34,23,266,1,2,0,1,3,0,0,0,0,0,0,0,0
Andy Dalton,47,29,244,0,1,0,7,48,0,0,0,0,0,0,0,0
Mitchell Trubisky,42,33,252,0,1,0,4,22,0,0,0,0,0,0,0,0
Matt Barkley,13,6,164,1,1,0,3,-3,0,0,0,0,0,0,0,0
Chris Streveler,16,11,105,1,1,0,3,12,0,0,0,0,0,0,0,0
Kyler Murray,11,8,87,0,0,0,2,3,0,0,0,0,0,0,0,0
Teddy Bridgewater,23,13,176,0,2,0,3,7,0,0,0,0,0,0,0,0
Tommy Stevens,0,0,0,0,0,0,4,24,0,0,0,0,0,0,0,0
Joshua Dobbs,5,4,2,0,0,0,2,20,0,0,0,0,0,0,0,0
Jameis Winston,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
A.J. McCarron,1,1,20,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Huntley,1,1,8,0,0,0,6,5,0,0,0,0,0,0,0,0
Jacoby Brissett,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0
Nate Sudfeld,12,5,32,0,1,0,2,12,0,0,0,0,0,0,1,0
Phillip Walker,14,5,95,0,3,0,0,0,0,0,0,0,0,0,0,0
Brandon Allen,21,6,48,0,2,0,1,2,0,0,0,0,0,0,0,0
