Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Travis Kelce,0,0,0,0,0,0,0,0,0,0,8,136,1,0,0,0
Taysom Hill,38,28,291,2,1,0,5,33,0,0,0,0,0,0,1,0
Mike Gesicki,0,0,0,0,0,0,0,0,0,0,5,65,2,0,0,0
Irv Smith,0,0,0,0,0,0,0,0,0,0,4,63,1,0,0,0
T.J. Hockenson,0,0,0,0,0,0,0,0,0,0,6,43,1,0,0,0
Darren Waller,0,0,0,0,0,0,0,0,0,0,7,75,0,0,0,0
Robert Tonyan,0,0,0,0,0,0,0,0,0,0,5,36,1,0,0,0
Nick Vannett,0,0,0,0,0,0,0,0,0,0,4,20,1,0,0,0
Geoff Swaim,0,0,0,0,0,0,0,0,0,0,3,34,1,0,0,0
Jimmy Graham,0,0,0,0,0,0,0,0,0,0,4,23,1,0,0,0
Jared Cook,0,0,0,0,0,0,0,0,0,0,3,37,1,0,0,0
Mark Andrews,0,0,0,0,0,0,0,0,0,0,5,78,0,0,0,0
Foster Moreau,0,0,0,0,0,0,0,0,0,0,1,47,1,0,0,0
Logan Thomas,0,0,0,0,0,0,0,0,0,0,6,43,0,0,0,0
Hunter Henry,0,0,0,0,0,0,0,0,0,0,6,41,0,0,0,0
Will Dissly,0,0,0,0,0,0,0,0,0,0,2,23,1,0,0,0
Dan Arnold,0,0,0,0,0,0,0,0,0,0,2,27,1,0,0,0
Troy Fumagalli,0,0,0,0,0,0,0,0,0,0,4,53,0,0,0,0
Tyler Conklin,0,0,0,0,0,0,0,0,0,0,5,40,0,0,0,0
Cole Kmet,0,0,0,0,0,0,0,0,0,0,4,41,0,0,0,0
Dallas Goedert,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
David Njoku,0,0,0,0,0,0,0,0,0,0,3,45,0,0,0,0
Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0
Eric Ebron,0,0,0,0,0,0,0,0,0,0,2,30,0,1,0,0
Jack Doyle,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0
Dalton Schultz,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0
Dawson Knox,0,0,0,0,0,0,0,0,0,0,4,34,0,0,1,0
Ian Thomas,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
Drew Sample,0,0,0,0,0,0,0,0,0,0,3,21,0,0,0,0
Tyler Higbee,0,0,0,0,0,0,0,0,0,0,2,34,0,0,0,0
Jordan Akins,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
Jonnu Smith,0,0,0,0,0,0,1,3,0,0,2,20,0,0,0,0
Adam Shaheen,0,0,0,0,0,0,0,0,0,0,2,26,0,0,0,0
Tyler Eifert,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
Ross Dwelley,0,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0
Harrison Bryant,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
Maxx Williams,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Durham Smythe,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
Jordan Reed,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
Colby Parkinson,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
James O'Shaughnessy,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0
Jacob Hollister,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
Evan Engram,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
Adam Trautman,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Darren Fells,0,0,0,0,0,0,0,0,0,0,1,15,0,0,0,0
Zach Ertz,0,0,0,0,0,0,0,0,0,0,2,8,0,0,0,0
Blake Bell,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Kaden Smith,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Eric Saubert,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Marcedes Lewis,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Hayden Hurst,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Josh Hill,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Chris Herndon IV,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Jaeden Graham,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Anthony Firkser,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Gerald Everett,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Cameron Brate,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Mo Alie-Cox,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
