Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Jonathan Taylor,0,0,0,0,0,0,30,253,2,0,1,1,0,0,0,0
Derrick Henry,0,0,0,0,0,0,34,250,2,0,0,0,0,0,1,0
Darwin Thompson,0,0,0,0,0,0,14,45,1,0,7,65,1,0,0,0
Alexander Mattison,0,0,0,0,0,0,21,95,1,0,3,50,1,0,0,0
J.K. Dobbins,0,0,0,0,0,0,13,160,2,0,0,0,0,0,0,0
David Montgomery,0,0,0,0,0,0,22,69,1,0,9,63,0,0,0,0
Jeffery Wilson,0,0,0,0,0,0,20,76,1,0,3,12,1,0,0,0
Sony Michel,0,0,0,0,0,0,16,76,0,0,3,60,1,0,0,0
Antonio Williams,0,0,0,0,0,0,12,63,2,0,1,20,0,0,0,0
David Johnson,0,0,0,0,0,0,14,84,1,0,3,36,0,0,0,0
Josh Jacobs,0,0,0,0,0,0,15,89,2,0,0,0,0,0,0,0
Melvin Gordon,0,0,0,0,0,0,26,93,1,0,4,17,0,0,0,0
Aaron Jones,0,0,0,0,0,0,11,42,1,0,4,43,0,0,0,0
Myles Gaskin,0,0,0,0,0,0,7,20,1,0,4,57,0,0,0,0
Brian Hill,0,0,0,0,0,0,9,94,0,0,3,42,0,0,0,0
Austin Ekeler,0,0,0,0,0,0,7,18,0,0,6,33,1,0,0,0
Nick Chubb,0,0,0,0,0,0,14,108,1,0,0,0,0,0,0,0
D'Andre Swift,0,0,0,0,0,0,12,54,1,0,3,16,0,0,0,0
Ezekiel Elliott,0,0,0,0,0,0,14,42,1,0,3,19,0,0,0,0
James White,0,0,0,0,0,0,0,0,0,0,4,31,1,0,0,0
Ronald Jones II,0,0,0,0,0,0,12,78,1,0,0,0,0,0,0,0
Justin Jackson,0,0,0,0,0,0,9,72,0,0,1,32,0,1,0,0
Josh Adams,0,0,0,0,0,0,11,47,1,0,2,12,0,0,0,0
Adrian Peterson,0,0,0,0,0,0,7,63,1,0,0,0,0,0,0,0
Nyheim Hines,0,0,0,0,0,0,2,17,0,0,6,50,0,0,0,0
Salvon Ahmed,0,0,0,0,0,0,6,29,1,0,3,19,0,0,0,0
