Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Justin Jefferson,0,0,0,0,0,0,0,0,0,0,9,166,2,1,0,0
Julio Jones,0,0,0,0,0,0,0,0,0,0,8,137,2,0,0,0
Will Fuller,0,0,0,0,0,0,0,0,0,0,6,123,1,0,0,0
Christian Kirk,0,0,0,0,0,0,0,0,0,0,2,86,2,0,0,0
A.J. Brown,0,0,0,0,0,0,0,0,0,0,5,58,2,0,0,0
Brandin Cooks,0,0,0,0,0,0,0,0,0,0,9,68,1,0,0,0
Amari Cooper,0,0,0,0,0,0,0,0,0,0,7,79,1,0,0,0
Keelan Cole,0,0,0,0,0,0,0,0,0,0,6,143,0,0,0,0
Travis Fulgham,0,0,0,0,0,0,0,0,0,0,6,75,1,0,0,0
Deebo Samuel,0,0,0,0,0,0,1,-6,0,0,6,66,1,0,0,0
Calvin Ridley,0,0,0,0,0,0,1,8,0,0,6,61,1,0,0,0
Adam Humphries,0,0,0,0,0,0,0,0,0,0,6,64,1,0,0,0
Tee Higgins,0,0,0,0,0,0,1,2,0,0,6,125,0,0,0,0
A.J. Green,0,0,0,0,0,0,0,0,0,0,8,96,0,0,0,0
Chase Claypool,0,0,0,0,0,0,2,7,1,0,4,74,0,0,0,0
James Washington,0,0,0,0,0,0,0,0,0,0,4,68,1,0,0,0
Stefon Diggs,0,0,0,0,0,0,0,0,0,0,6,46,1,0,0,0
Zach Pascal,0,0,0,0,0,0,0,0,0,0,4,54,1,0,0,0
Marcus Johnson,0,0,0,0,0,0,0,0,0,0,5,108,0,0,0,0
Adam Thielen,0,0,0,0,0,0,0,0,0,0,3,51,1,0,0,0
Tim Patrick,0,0,0,0,0,0,0,0,0,0,4,101,0,0,0,0
D.J. Moore,0,0,0,0,0,0,0,0,0,0,5,93,0,0,0,0
Terry McLaurin,0,0,0,0,0,0,0,0,0,0,7,74,0,0,0,0
Kenny Golladay,0,0,0,0,0,0,0,0,0,0,4,105,0,0,0,0
Cole Beasley,0,0,0,0,0,0,0,0,0,0,4,45,1,0,0,0
Robert Woods,0,0,0,0,0,0,2,11,0,0,4,29,1,0,0,0
CeeDee Lamb,0,0,0,0,0,0,0,0,0,0,7,64,0,0,0,0
Darius Slayton,0,0,0,0,0,0,1,-3,0,0,2,41,1,0,0,0
Josh Reynolds,0,0,0,0,0,0,0,0,0,0,2,45,1,0,0,0
Tyler Boyd,0,0,0,0,0,0,1,25,0,0,5,54,0,0,0,0
Davante Adams,0,0,0,0,0,0,0,0,0,0,6,61,0,0,0,0
Demarcus Robinson,0,0,0,0,0,0,0,0,0,0,5,69,0,0,0,0
Jamison Crowder,0,0,0,0,0,0,0,0,0,0,7,48,0,0,0,0
D.J. Chark,0,0,0,0,0,0,0,0,0,0,7,45,0,0,0,0
Robby Anderson,0,0,0,0,0,0,0,0,0,0,4,77,0,0,0,0
Allen Robinson,0,0,0,0,0,0,0,0,0,0,5,53,0,0,0,0
Breshad Perriman,0,0,0,0,0,0,0,0,0,0,4,62,0,0,0,0
Russell Gage,0,0,0,0,0,0,0,0,0,0,4,65,0,0,0,0
Randall Cobb,1,0,0,0,0,0,0,0,0,0,3,17,1,0,0,0
Preston Williams,0,0,0,0,0,0,0,0,0,0,2,18,1,0,0,0
Cam Sims,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,0
Dontrelle Inman,0,0,0,0,0,0,0,0,0,0,5,45,0,0,0,0
DeAndre Hopkins,0,0,0,0,0,0,0,0,0,0,2,73,0,0,0,0
Chris Godwin,0,0,0,0,0,0,0,0,0,0,5,48,0,0,0,0
Marquise Brown,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,0
Brandon Aiyuk,0,0,0,0,0,0,0,0,0,0,2,12,1,0,0,0
Rashard Higgins,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0
Jakeem Grant,0,0,0,0,0,0,0,0,0,0,4,48,0,0,0,0
J.J. Arcega-Whiteside,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
Jarvis Landry,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0
Tyler Johnson,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0
Isaiah Wright,0,0,0,0,0,0,1,1,0,0,4,25,0,0,0,0
Marquez Valdes-Scantling,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
Kalif Raymond,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
Byron Pringle,0,0,0,0,0,0,0,0,0,0,2,46,0,0,0,0
DeVante Parker,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
Darnell Mooney,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
John Hightower,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0
Devin Duvernay,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
Damiere Byrd,0,0,0,0,0,0,0,0,0,0,3,38,0,0,0,0
Kendrick Bourne,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0
Greg Ward,0,0,0,0,0,0,0,0,0,0,2,19,0,1,0,0
Jerry Jeudy,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0
Tyreek Hill,0,0,0,0,0,0,1,5,0,0,3,20,0,0,0,0
De'Michael Harris,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
Larry Fitzgerald,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0
Danny Amendola,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0
Willie Snead,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0
