Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Los Angeles Rams,4,1,1,0,1,1,7,166,48,214
Buffalo Bills,1,3,0,1,0,2,26,384,70,454
New Orleans Saints,3,5,0,0,0,0,7,246,74,320
Baltimore Ravens,0,2,0,0,0,0,3,48,147,195
Washington Football Team,3,2,0,1,0,0,14,98,118,216
Indianapolis Colts,6,0,0,1,0,0,14,230,53,283
New York Giants,6,1,0,0,0,0,19,199,108,307
Denver Broncos,3,2,0,2,0,0,32,359,106,465
New England Patriots,3,2,0,0,0,0,14,239,111,350
Philadelphia Eagles,3,2,0,0,0,0,20,145,103,248
Arizona Cardinals,2,1,0,1,0,0,18,223,110,333
Green Bay Packers,1,1,0,1,0,0,16,248,108,356
Dallas Cowboys,2,1,0,1,0,0,23,211,125,336
Las Vegas Raiders,2,0,0,0,2,0,31,324,122,446
Los Angeles Chargers,1,0,1,1,0,0,21,217,51,268
Seattle Seahawks,3,0,0,1,0,0,23,242,86,328
Tampa Bay Buccaneers,1,0,0,2,0,0,27,258,127,385
Tennessee Titans,4,1,0,0,0,0,38,361,96,457
Miami Dolphins,1,2,0,0,0,0,56,377,78,455
Minnesota Vikings,1,1,0,1,0,0,35,288,129,417
Pittsburgh Steelers,4,0,0,0,0,0,24,166,192,358
Cleveland Browns,1,1,0,0,0,0,22,309,85,394
Houston Texans,2,0,0,1,0,0,41,204,288,492
Atlanta Falcons,1,1,0,0,0,0,44,391,94,485
Chicago Bears,1,0,0,1,0,0,35,237,79,316
Detroit Lions,3,0,0,0,0,0,37,383,125,508
Kansas City Chiefs,3,0,0,0,0,0,38,281,135,416
New York Jets,3,0,0,0,0,0,28,238,166,404
San Francisco 49ers,2,0,0,0,0,0,26,159,121,280
Carolina Panthers,2,0,0,0,0,0,33,191,156,347
Cincinnati Bengals,0,1,0,0,0,0,38,121,404,525
Jacksonville Jaguars,0,1,0,0,0,0,28,164,273,437
