Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Allen Lazard,0,0,0,0,0,0,2,17,0,0,33,451,3,0,0,0
Michael Pittman,0,0,0,0,0,0,3,26,0,0,40,503,1,0,0,0
Chris Conley,0,0,0,0,0,0,0,0,0,0,40,471,2,0,1,0
Braxton Berrios,0,0,0,0,0,0,3,29,0,0,37,394,3,0,0,0
Jalen Guyton,0,0,0,0,0,0,2,0,0,0,28,511,3,0,0,0
Willie Snead,0,0,0,0,0,0,0,0,0,0,33,432,3,0,0,0
Isaiah McKenzie,1,1,12,1,0,0,10,9,0,0,30,282,5,0,0,0
Keke Coutee,0,0,0,0,0,0,0,0,0,0,33,400,3,1,3,0
Sammy Watkins,1,0,0,0,1,0,1,3,0,0,37,421,2,0,1,0
KJ Hamler,0,0,0,0,0,0,9,40,0,0,30,381,3,0,0,0
Odell Beckham Jr.,1,1,18,0,0,0,3,72,1,0,23,319,3,0,0,0
Cam Sims,0,0,0,0,0,0,1,5,0,0,32,477,1,0,0,0
Michael Thomas,0,0,0,0,0,0,1,1,0,0,40,438,0,0,0,0
Golden Tate,2,1,18,0,0,0,0,0,0,0,35,388,2,0,0,0
Henry Ruggs,0,0,0,0,0,0,9,49,0,0,26,452,2,0,2,0
Deebo Samuel,0,0,0,0,0,0,8,26,0,0,33,391,1,0,0,0
Jalen Reagor,0,0,0,0,0,0,4,26,0,0,31,396,1,1,0,0
Tyron Johnson,0,0,0,0,0,0,3,17,0,0,20,398,3,0,0,0
Jakeem Grant,0,0,0,0,0,0,3,20,0,0,36,373,1,0,0,0
Preston Williams,0,0,0,0,0,0,0,0,0,0,18,288,4,2,0,0
N'Keal Harry,0,0,0,0,0,0,2,0,0,0,33,309,2,0,1,0
Kenny Golladay,0,0,0,0,0,0,0,0,0,0,20,338,2,0,0,0
