Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
New England Patriots,3,2,0,0,1,2,0,188,70,258
Miami Dolphins,6,2,0,0,0,0,7,156,40,196
New York Giants,5,1,0,1,0,0,12,216,111,327
Indianapolis Colts,5,1,1,1,0,0,20,308,90,398
Jacksonville Jaguars,4,1,0,1,0,1,27,275,145,420
Green Bay Packers,7,1,0,0,0,0,16,161,117,278
Minnesota Vikings,2,2,1,2,0,0,24,266,124,390
Los Angeles Rams,2,1,0,1,0,1,28,140,92,232
Seattle Seahawks,2,1,1,0,1,0,17,100,190,290
Cleveland Browns,3,1,0,2,0,0,35,369,62,431
Las Vegas Raiders,3,1,0,2,0,0,28,170,206,376
New Orleans Saints,3,0,0,1,0,0,16,262,70,332
Kansas City Chiefs,0,2,0,0,0,0,16,151,179,330
Philadelphia Eagles,2,0,0,0,0,1,30,288,149,437
Baltimore Ravens,1,1,0,0,0,0,17,277,111,388
Cincinnati Bengals,0,0,0,1,0,0,19,296,110,406
Detroit Lions,2,0,0,1,1,0,30,249,140,389
New York Jets,2,1,0,1,0,0,31,368,72,440
Washington Football Team,0,1,0,0,0,0,17,305,21,326
Atlanta Falcons,2,0,0,1,0,0,21,217,207,424
Buffalo Bills,0,2,0,0,0,0,24,316,86,402
Chicago Bears,2,1,0,0,0,0,34,400,60,460
Houston Texans,3,0,0,0,0,0,26,262,109,371
Pittsburgh Steelers,3,0,0,0,0,0,23,273,45,318
Arizona Cardinals,1,0,0,1,0,0,38,344,119,463
San Francisco 49ers,1,0,0,1,0,0,34,368,81,449
Dallas Cowboys,0,1,0,0,0,0,34,107,294,401
Denver Broncos,1,0,0,0,0,0,22,313,134,447
Tennessee Titans,0,0,0,1,0,0,41,340,118,458
Los Angeles Chargers,1,0,0,0,0,0,45,126,165,291
