Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Dallas Cowboys,2,2,0,2,0,1,33,308,150,458
Buffalo Bills,3,0,0,1,0,1,19,115,140,255
Baltimore Ravens,5,0,1,1,0,0,14,205,62,267
Indianapolis Colts,5,0,0,2,0,0,20,342,83,425
Miami Dolphins,3,0,0,1,0,0,12,186,117,303
Seattle Seahawks,4,2,0,0,0,0,15,269,84,353
Arizona Cardinals,6,0,1,0,1,0,26,305,117,422
Cincinnati Bengals,1,1,0,2,0,0,17,158,86,244
Cleveland Browns,1,0,0,0,0,0,6,214,74,288
New York Jets,3,1,0,0,1,0,20,189,114,303
Green Bay Packers,3,0,0,1,0,0,16,249,115,364
New Orleans Saints,4,0,1,1,0,0,32,232,179,411
Philadelphia Eagles,1,1,0,2,0,0,33,423,103,526
Tennessee Titans,0,1,0,2,0,0,25,307,123,430
Carolina Panthers,5,0,0,0,0,0,24,96,195,291
Chicago Bears,3,1,0,0,0,0,27,249,158,407
Washington Football Team,0,1,0,0,0,0,20,121,181,302
New England Patriots,2,1,0,0,0,0,22,133,250,383
New York Giants,1,0,0,0,0,0,20,286,106,392
Los Angeles Chargers,1,1,0,0,0,0,27,276,173,449
Tampa Bay Buccaneers,3,0,0,0,0,0,27,332,37,369
Atlanta Falcons,3,0,0,0,0,0,31,365,51,416
Denver Broncos,1,0,0,1,0,0,48,352,182,534
Detroit Lions,1,0,1,0,0,0,46,268,195,463
Jacksonville Jaguars,1,1,0,0,0,0,40,250,159,409
Kansas City Chiefs,1,1,0,0,0,0,29,225,60,285
Los Angeles Rams,2,0,0,0,0,0,23,196,93,289
Minnesota Vikings,1,1,0,0,0,0,33,198,199,397
Pittsburgh Steelers,2,0,0,0,0,0,27,78,152,230
Houston Texans,1,0,0,0,0,0,27,223,127,350
San Francisco 49ers,2,0,0,0,0,0,41,204,87,291
Las Vegas Raiders,1,0,0,0,0,0,30,306,96,402
