Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Calvin Ridley,0,0,0,0,0,0,0,0,0,0,7,109,2,0,0,0
Stefon Diggs,0,0,0,0,0,0,0,0,0,0,8,153,1,0,0,0
Terry McLaurin,0,0,0,0,0,0,0,0,0,0,7,125,1,0,0,0
Julian Edelman,0,0,0,0,0,0,0,0,0,0,8,179,0,0,0,0
Diontae Johnson,0,0,0,0,0,0,0,0,0,0,8,92,1,0,0,0
Mike Evans,0,0,0,0,0,0,0,0,0,0,7,104,1,0,0,0
D.J. Moore,0,0,0,0,0,0,0,0,0,0,8,120,0,0,0,0
DeAndre Hopkins,0,0,0,0,0,0,0,0,0,0,8,68,1,0,0,0
Tyreek Hill,0,0,0,0,0,0,1,9,0,0,5,99,1,0,0,0
Tyler Boyd,0,0,0,0,0,0,0,0,0,0,7,72,1,0,0,0
D.K. Metcalf,0,0,0,0,0,0,0,0,0,0,4,92,1,0,0,0
Tyler Lockett,0,0,0,0,0,0,0,0,0,0,7,67,1,0,0,0
John Brown,0,0,0,0,0,0,0,0,0,0,4,82,1,0,0,0
Robby Anderson,0,0,0,0,0,0,0,0,0,0,9,109,0,0,1,0
Keelan Cole,0,0,0,0,0,0,0,0,0,0,6,58,1,0,0,0
Chase Claypool,0,0,0,0,0,0,0,0,0,0,3,88,1,0,0,0
Braxton Berrios,0,0,0,0,0,0,0,0,0,0,6,59,1,0,0,0
Odell Beckham Jr.,0,0,0,0,0,0,0,0,0,0,4,74,1,0,0,0
DeVante Parker,0,0,0,0,0,0,0,0,0,0,5,53,1,0,0,0
CeeDee Lamb,0,0,0,0,0,0,1,9,0,0,6,106,0,0,0,0
Russell Gage,1,0,0,0,0,0,0,0,0,0,6,46,1,0,0,0
Amari Cooper,0,0,0,0,0,0,0,0,0,0,6,100,0,0,0,0
Keenan Allen,0,0,0,0,0,0,0,0,0,0,7,96,0,0,0,0
Adam Humphries,0,0,0,0,0,0,0,0,0,0,5,48,1,0,0,0
N'Keal Harry,0,0,0,0,0,0,0,0,0,0,8,72,0,0,0,0
Isaiah Ford,0,0,0,0,0,0,0,0,0,0,7,76,0,0,0,0
Brandin Cooks,0,0,0,0,0,0,0,0,0,0,5,95,0,0,0,0
Mike Thomas,0,0,0,0,0,0,0,0,0,0,4,31,1,0,0,0
Tre'Quan Smith,0,0,0,0,0,0,0,0,0,0,5,86,0,0,0,0
