Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Indianapolis Colts,2,3,1,0,0,2,7,151,109,260
Tampa Bay Buccaneers,6,2,1,0,1,0,10,184,42,226
New England Patriots,2,0,0,3,0,1,20,249,126,375
Cleveland Browns,3,3,0,2,0,0,20,206,103,309
Miami Dolphins,4,1,0,1,0,0,13,246,72,318
San Francisco 49ers,2,1,0,2,0,0,9,165,66,231
Carolina Panthers,2,1,0,3,0,0,16,319,117,436
Seattle Seahawks,2,2,1,1,1,0,31,461,61,522
Kansas City Chiefs,4,0,0,1,0,0,20,70,158,228
Philadelphia Eagles,8,0,0,0,0,0,23,256,48,304
Baltimore Ravens,0,0,0,1,0,1,34,385,132,517
Cincinnati Bengals,3,2,0,0,0,0,23,206,175,381
Detroit Lions,1,3,0,0,0,0,23,268,109,377
Los Angeles Rams,4,1,0,1,0,0,35,274,101,375
Pittsburgh Steelers,5,1,0,0,0,0,21,231,29,260
Tennessee Titans,2,2,0,1,0,0,30,238,226,464
Atlanta Falcons,2,2,0,0,0,0,30,307,130,437
Buffalo Bills,2,1,0,1,0,0,32,311,167,478
Dallas Cowboys,4,0,0,1,0,0,38,295,117,412
Arizona Cardinals,4,0,0,0,0,0,26,232,90,322
Chicago Bears,2,1,0,0,0,0,26,227,144,371
Los Angeles Chargers,2,0,0,0,1,0,21,221,81,302
Denver Broncos,2,0,0,0,1,0,28,285,68,353
Green Bay Packers,2,0,0,1,0,0,30,275,122,397
Las Vegas Raiders,2,1,0,0,0,0,36,156,250,406
Minnesota Vikings,2,1,0,0,0,0,31,310,134,444
Houston Texans,2,0,0,0,0,0,28,218,169,387
New York Giants,2,0,0,0,0,0,36,327,93,420
Washington Football Team,2,0,0,0,0,0,34,142,158,300
Jacksonville Jaguars,1,0,0,0,0,0,31,156,138,294
New Orleans Saints,1,0,0,0,0,0,37,271,98,369
New York Jets,0,0,0,0,0,0,36,234,119,353
