Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Baltimore Ravens,4,1,0,1,0,1,16,253,51,304
Indianapolis Colts,3,3,1,0,0,0,11,95,80,175
Tampa Bay Buccaneers,5,2,0,2,0,0,17,340,87,427
Chicago Bears,4,1,0,1,0,0,13,220,75,295
Pittsburgh Steelers,7,1,1,1,0,0,21,215,104,319
Green Bay Packers,4,1,0,0,0,1,21,218,89,307
Arizona Cardinals,4,0,0,2,0,0,15,199,117,316
New York Giants,4,2,0,0,0,0,17,169,135,304
Los Angeles Rams,0,2,0,1,0,0,19,242,121,363
New England Patriots,2,1,0,0,0,1,35,275,154,429
Kansas City Chiefs,2,1,0,0,0,0,20,296,183,479
San Francisco 49ers,1,0,0,0,0,0,13,173,104,277
Atlanta Falcons,1,0,0,3,0,0,40,445,125,570
Denver Broncos,1,1,0,1,0,0,26,301,109,410
Tennessee Titans,2,2,0,0,0,0,30,315,165,480
Cleveland Browns,3,0,0,1,0,0,30,285,68,353
New Orleans Saints,3,0,0,1,0,0,34,261,116,377
New York Jets,3,1,0,0,0,0,31,177,182,359
Philadelphia Eagles,1,0,0,1,1,0,37,258,191,449
Washington Football Team,3,1,0,0,0,0,30,278,160,438
Carolina Panthers,0,1,0,1,0,0,31,217,122,339
Houston Texans,4,0,0,0,0,0,33,177,230,407
Los Angeles Chargers,1,0,0,0,1,0,23,289,125,414
Minnesota Vikings,2,1,0,0,0,0,28,203,151,354
Buffalo Bills,3,0,0,0,0,0,28,311,99,410
Las Vegas Raiders,0,1,0,0,0,0,24,312,112,424
Miami Dolphins,1,0,0,1,0,0,31,411,112,523
Seattle Seahawks,1,1,0,0,0,0,30,397,67,464
Cincinnati Bengals,0,1,0,0,0,0,35,219,215,434
Dallas Cowboys,1,0,0,0,0,0,39,267,113,380
Detroit Lions,1,0,0,0,0,0,42,229,259,488
Jacksonville Jaguars,1,0,0,0,0,0,33,231,123,354
