Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Baltimore Ravens,2,1,0,2,0,0,6,168,138,306
New Orleans Saints,3,2,0,1,1,1,23,224,86,310
Washington Football Team,8,2,0,1,0,0,17,208,57,265
Los Angeles Chargers,3,1,0,1,0,0,13,173,122,295
New England Patriots,1,3,0,0,0,0,11,182,87,269
Buffalo Bills,3,1,0,1,0,0,17,202,52,254
Pittsburgh Steelers,3,2,0,0,0,0,16,262,29,291
Kansas City Chiefs,4,1,0,0,0,0,20,242,118,360
Arizona Cardinals,3,0,0,0,1,0,20,243,123,366
Jacksonville Jaguars,1,2,0,0,0,0,20,357,88,445
New York Jets,3,0,0,2,0,0,27,306,98,404
Dallas Cowboys,1,1,0,0,0,0,20,269,153,422
Denver Broncos,1,0,0,0,1,0,16,247,130,377
Los Angeles Rams,3,0,0,0,0,0,17,244,136,380
Seattle Seahawks,2,1,0,1,0,0,25,434,72,506
Cincinnati Bengals,2,0,0,0,0,0,16,207,155,362
Green Bay Packers,2,1,1,0,0,0,34,248,134,382
Tennessee Titans,0,0,0,1,0,0,14,216,107,323
Indianapolis Colts,4,0,0,0,0,0,27,150,91,241
Miami Dolphins,2,0,0,1,0,0,21,140,217,357
New York Giants,2,0,0,1,0,0,26,208,141,349
San Francisco 49ers,2,1,0,0,0,0,24,224,180,404
Chicago Bears,1,1,0,0,0,0,23,288,138,426
Cleveland Browns,2,0,0,1,0,0,38,270,111,381
Philadelphia Eagles,3,0,0,0,0,0,27,159,80,239
Atlanta Falcons,3,0,0,0,0,0,38,299,84,383
Detroit Lions,1,0,0,0,0,0,27,214,149,363
Houston Texans,1,0,0,0,0,0,34,203,166,369
Las Vegas Raiders,1,0,0,0,0,0,30,259,129,388
Tampa Bay Buccaneers,1,0,0,0,0,0,34,189,82,271
Carolina Panthers,0,0,0,0,0,0,34,239,133,372
Minnesota Vikings,0,0,0,0,0,0,43,364,158,522
