Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Atlanta Falcons,5,1,0,4,0,1,6,203,40,243
Carolina Panthers,2,0,0,3,0,2,28,291,96,387
San Francisco 49ers,2,2,0,2,0,1,20,182,126,308
Washington Football Team,4,1,0,1,0,1,16,187,60,247
Houston Texans,4,1,0,2,0,1,25,279,109,388
Miami Dolphins,3,2,0,0,0,0,3,173,87,260
New Orleans Saints,1,2,0,1,0,0,3,12,100,112
Pittsburgh Steelers,3,1,0,1,0,1,14,90,129,219
Green Bay Packers,3,2,0,1,0,1,25,229,121,350
Los Angeles Rams,2,1,0,2,0,1,23,233,112,345
Cincinnati Bengals,0,0,0,1,0,1,19,244,142,386
New York Giants,2,1,0,2,0,0,17,115,40,155
New York Jets,4,0,0,2,0,0,20,241,104,345
Seattle Seahawks,6,1,0,0,0,0,17,180,70,250
Arizona Cardinals,3,2,0,0,0,0,20,69,110,179
Tennessee Titans,2,1,0,0,0,1,26,280,56,336
Los Angeles Chargers,3,1,0,2,0,0,27,160,172,332
Buffalo Bills,3,1,0,0,0,0,17,291,76,367
Baltimore Ravens,0,1,0,1,0,0,19,266,68,334
New England Patriots,2,1,0,0,0,0,17,160,138,298
Kansas City Chiefs,1,2,0,0,0,0,24,342,75,417
Dallas Cowboys,3,1,0,0,0,0,41,156,182,338
Denver Broncos,3,1,0,0,0,0,31,63,229,292
Jacksonville Jaguars,2,0,0,1,0,0,27,252,207,459
Minnesota Vikings,0,1,0,0,1,0,27,267,107,374
Tampa Bay Buccaneers,2,0,0,1,0,0,27,456,87,543
Detroit Lions,2,0,0,1,0,0,41,307,77,384
Las Vegas Raiders,1,1,0,0,0,0,43,179,125,304
Philadelphia Eagles,2,0,0,0,0,0,23,225,76,301
Cleveland Browns,0,0,0,0,0,0,25,235,140,375
Indianapolis Colts,1,0,0,0,0,0,45,220,229,449
Chicago Bears,0,0,0,0,0,0,41,211,182,393
