Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Josh Jacobs,0,0,0,0,0,0,25,93,3,0,4,46,0,0,0,0
Christian McCaffrey,0,0,0,0,0,0,23,97,2,0,3,38,0,0,0,0
Ezekiel Elliott,0,0,0,0,0,0,22,96,1,0,3,31,1,0,0,0
Malcolm Brown,0,0,0,0,0,0,18,79,2,0,3,31,0,0,0,0
Dalvin Cook,0,0,0,0,0,0,12,50,2,2,1,-2,0,0,0,0
Raheem Mostert,0,0,0,0,0,0,15,56,0,0,4,95,1,0,0,0
Clyde Edwards-Helaire,0,0,0,0,0,0,25,138,1,0,0,0,0,0,0,0
Alvin Kamara,0,0,0,0,0,0,12,16,1,0,5,51,1,0,0,0
Nyheim Hines,0,0,0,0,0,0,7,28,1,0,8,45,1,0,0,0
Chris Carson,0,0,0,0,0,0,6,21,0,0,6,45,2,0,0,0
David Johnson,0,0,0,0,0,0,11,77,1,0,3,32,0,0,0,0
J.K. Dobbins,0,0,0,0,0,0,7,22,2,0,0,0,0,0,0,0
Peyton Barber,0,0,0,0,0,0,17,29,2,0,0,0,0,0,0,0
Aaron Jones,0,0,0,0,0,0,16,66,1,0,4,10,0,0,0,0
Joshua Kelley,0,0,0,0,0,0,12,60,1,0,0,0,0,0,0,0
Derrick Henry,0,0,0,0,0,0,31,116,0,0,3,15,0,0,0,0
Melvin Gordon,0,0,0,0,0,0,15,78,1,0,3,8,0,0,1,0
Kenyan Drake,0,0,0,0,0,0,16,60,1,0,2,5,0,0,0,0
Benjamin Snell,0,0,0,0,0,0,19,113,0,0,0,0,0,0,0,0
Adrian Peterson,0,0,0,0,0,0,14,93,0,0,3,21,0,0,0,0
Todd Gurley,0,0,0,0,0,0,14,56,1,0,2,1,0,0,0,0
Jerick McKinnon,0,0,0,0,0,0,3,24,0,0,3,20,1,0,0,0
Sony Michel,0,0,0,0,0,0,10,37,1,0,0,0,0,0,0,0
Chase Edmonds,0,0,0,0,0,0,6,26,0,0,3,19,1,0,0,0
Jonathan Taylor,0,0,0,0,0,0,9,22,0,0,6,67,0,0,0,0
James Robinson,0,0,0,0,0,0,16,62,0,0,1,28,0,0,0,0
Zack Moss,0,0,0,0,0,0,9,11,0,0,3,16,1,0,0,0
Alexander Mattison,0,0,0,0,0,0,6,50,0,0,4,30,0,0,0,0
Carlos Hyde,0,0,0,0,0,0,7,23,1,0,0,0,0,0,0,0
Austin Ekeler,0,0,0,0,0,0,19,84,0,0,1,3,0,0,0,0
D'Andre Swift,0,0,0,0,0,0,3,8,1,0,3,15,0,0,0,0
David Montgomery,0,0,0,0,0,0,13,64,0,0,1,10,0,0,0,0
Ronald Jones II,0,0,0,0,0,0,17,66,0,0,2,16,0,0,0,0
Kareem Hunt,0,0,0,0,0,0,13,72,0,0,4,9,0,0,0,0
Josh Adams,0,0,0,0,0,0,2,8,1,0,2,14,0,0,0,0
Jordan Howard,0,0,0,0,0,0,8,7,1,0,0,0,0,0,0,0
Myles Gaskin,0,0,0,0,0,0,9,40,0,0,4,26,0,0,0,0
Saquon Barkley,0,0,0,0,0,0,15,6,0,0,6,60,0,0,0,0
