Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Kyler Murray,26,21,283,3,0,0,11,106,1,0,0,0,0,0,1,0
Josh Allen,38,31,415,3,0,0,7,14,1,0,0,0,0,0,0,0
Patrick Mahomes,45,30,372,4,0,0,2,0,0,0,0,0,0,0,0,0
Aaron Rodgers,31,25,305,4,0,0,1,7,0,0,0,0,0,0,0,0
Drew Lock,48,25,313,2,1,0,7,47,1,0,0,0,0,0,0,0
Teddy Bridgewater,49,36,310,2,0,0,2,19,1,0,0,0,0,0,0,0
Drew Brees,32,26,222,4,0,0,2,-2,0,0,0,0,0,0,1,0
Ben Roethlisberger,42,29,306,3,0,0,1,8,0,0,0,0,0,0,0,0
Deshaun Watson,32,19,281,2,0,0,10,50,0,0,0,0,0,0,0,0
Matt Ryan,35,25,284,3,1,0,3,10,0,0,0,0,0,0,0,0
Russell Wilson,41,28,390,2,2,0,2,5,1,0,0,0,0,0,2,0
Justin Herbert,42,28,326,2,0,0,5,24,0,0,0,0,0,0,0,0
Joe Flacco,25,18,262,3,1,0,0,0,0,0,0,0,0,0,0,0
Kirk Cousins,20,13,220,3,0,0,0,0,0,0,0,0,0,0,0,0
Nick Foles,52,36,335,2,0,0,2,2,0,0,0,0,0,0,0,0
Tua Tagovailoa,28,20,248,2,0,0,7,35,0,0,0,0,0,0,0,0
Cam Newton,35,27,274,0,0,0,10,16,2,0,0,0,0,0,0,0
Jake Luton,38,26,304,1,1,0,1,13,1,0,0,0,0,0,0,0
Ryan Tannehill,21,10,158,2,0,0,3,3,0,0,0,0,0,0,0,0
Derek Carr,23,13,165,2,0,0,2,14,0,0,0,0,0,0,1,0
Lamar Jackson,23,19,170,0,0,0,13,58,1,0,0,0,0,0,0,0
Garrett Gilbert,38,21,243,1,1,0,3,28,0,0,0,0,0,0,0,0
Nick Mullens,35,22,291,1,1,0,1,0,0,0,0,0,0,0,1,0
Daniel Jones,34,23,212,1,0,0,6,4,0,0,0,0,0,0,0,0
Alex Smith,32,24,325,1,3,0,0,0,0,0,0,0,0,0,0,0
Matthew Stafford,32,23,211,1,2,0,0,0,0,0,0,0,0,0,0,0
Philip Rivers,43,25,227,0,1,0,0,0,0,0,0,0,0,0,0,0
Chase Daniel,13,8,94,1,1,0,1,5,0,0,0,0,0,0,0,0
Tom Brady,38,22,209,0,3,0,0,0,0,0,0,0,0,0,0,0
Kyle Allen,7,5,62,0,0,0,0,0,0,0,0,0,0,0,0,0
Jameis Winston,1,1,12,0,0,0,3,-3,0,0,0,0,0,0,0,0
Mason Rudolph,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine Gabbert,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
Jacoby Brissett,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Boyle,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,0
