Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Baltimore Ravens,7,1,0,2,0,1,3,135,70,205
Los Angeles Rams,8,0,0,0,0,0,10,70,38,108
Miami Dolphins,5,2,0,1,0,0,17,128,131,259
Cleveland Browns,1,2,1,0,0,1,23,240,68,308
Houston Texans,4,0,0,2,0,0,14,289,75,364
New York Giants,2,1,0,1,0,1,37,276,126,402
Indianapolis Colts,1,2,0,0,0,1,32,261,124,385
Tennessee Titans,1,2,0,1,0,0,16,275,95,370
Arizona Cardinals,3,0,0,0,0,0,10,162,123,285
Dallas Cowboys,2,0,0,1,0,1,34,211,89,300
Chicago Bears,3,0,0,1,0,0,19,233,106,339
Pittsburgh Steelers,5,2,0,0,0,0,29,242,94,336
Tampa Bay Buccaneers,3,1,0,0,0,0,20,208,35,243
Carolina Panthers,2,1,0,0,0,0,16,207,166,373
Seattle Seahawks,3,1,0,1,0,0,26,248,201,449
Minnesota Vikings,4,1,0,0,0,0,27,190,124,314
Jacksonville Jaguars,1,2,0,0,0,0,30,357,129,486
Las Vegas Raiders,3,1,0,0,0,0,32,333,80,413
Cincinnati Bengals,1,1,0,0,0,0,27,171,161,332
Los Angeles Chargers,2,1,0,0,0,0,30,313,95,408
New Orleans Saints,3,0,0,0,0,0,27,239,111,350
Kansas City Chiefs,1,1,0,0,0,0,40,346,144,490
New York Jets,1,1,0,0,0,0,30,369,127,496
Philadelphia Eagles,1,0,0,1,0,0,38,231,136,367
Washington Football Team,1,1,0,0,0,0,30,300,129,429
San Francisco 49ers,2,0,0,0,0,0,43,342,94,436
Atlanta Falcons,0,0,0,0,0,0,23,313,124,437
Buffalo Bills,0,0,0,0,0,0,42,195,139,334
