Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
New Orleans Saints,3,3,0,0,0,0,3,186,8,194
Baltimore Ravens,0,1,0,1,0,1,10,227,112,339
Tennessee Titans,3,0,0,2,0,1,17,319,56,375
New York Giants,2,3,0,2,0,0,20,365,37,402
Buffalo Bills,5,2,0,2,0,0,34,362,57,419
Minnesota Vikings,2,3,0,0,0,0,20,292,129,421
Pittsburgh Steelers,2,1,0,1,0,0,19,220,144,364
Green Bay Packers,1,1,0,1,0,0,17,282,55,337
Miami Dolphins,1,0,0,1,0,1,31,264,178,442
Seattle Seahawks,7,0,0,0,0,0,44,386,34,420
Washington Football Team,5,0,0,0,0,0,23,184,166,350
Detroit Lions,1,0,0,0,2,0,34,212,275,487
Houston Texans,2,1,0,0,0,0,25,297,115,412
Indianapolis Colts,2,0,0,1,0,0,24,156,110,266
Jacksonville Jaguars,2,0,0,1,0,0,27,267,107,374
Las Vegas Raiders,2,0,0,1,0,0,26,312,128,440
Tampa Bay Buccaneers,1,0,0,2,0,0,38,282,138,420
Atlanta Falcons,1,1,0,0,0,0,27,302,103,405
Chicago Bears,3,0,0,0,0,0,24,136,92,228
Denver Broncos,2,1,0,0,0,0,34,271,92,363
New England Patriots,1,1,0,0,0,0,27,257,65,322
Arizona Cardinals,3,0,0,0,0,0,34,221,91,312
Carolina Panthers,1,0,0,1,0,0,33,367,30,397
Dallas Cowboys,0,0,0,0,1,0,24,309,46,355
Los Angeles Chargers,1,0,0,1,0,0,31,160,160,320
Kansas City Chiefs,2,0,0,0,0,0,31,331,104,435
San Francisco 49ers,1,0,0,0,0,0,34,294,111,405
New York Jets,0,0,0,0,0,0,30,274,159,433
