Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Miami Dolphins,2,2,0,2,0,2,17,340,131,471
Philadelphia Eagles,4,0,1,2,0,1,9,132,133,265
Pittsburgh Steelers,4,2,0,2,0,1,24,192,265,457
Indianapolis Colts,5,1,0,1,0,1,21,297,29,326
Dallas Cowboys,4,2,0,2,0,0,23,103,119,222
Kansas City Chiefs,1,0,0,1,1,0,9,128,93,221
Las Vegas Raiders,0,0,0,1,0,0,6,122,101,223
Atlanta Falcons,3,1,0,0,0,0,17,157,147,304
New Orleans Saints,5,1,0,0,0,0,23,233,96,329
Seattle Seahawks,3,1,0,1,0,0,27,299,52,351
Tampa Bay Buccaneers,3,2,0,0,0,0,23,256,101,357
Cincinnati Bengals,1,1,0,0,0,0,20,223,218,441
Cleveland Browns,2,0,0,0,0,0,16,100,209,309
Denver Broncos,2,2,0,0,0,0,30,275,210,485
Buffalo Bills,2,0,0,1,0,0,21,161,188,349
Carolina Panthers,2,1,0,0,0,0,25,270,131,401
Los Angeles Rams,1,0,0,2,0,0,28,90,55,145
New York Giants,2,0,0,1,0,0,25,263,81,344
Baltimore Ravens,2,0,0,1,0,0,28,173,48,221
Detroit Lions,2,0,0,0,1,0,41,247,119,366
Los Angeles Chargers,2,1,0,0,0,0,31,243,108,351
Minnesota Vikings,1,0,0,1,0,0,22,291,109,400
New England Patriots,1,1,0,0,0,0,24,149,190,339
Chicago Bears,1,0,0,0,0,0,26,272,122,394
San Francisco 49ers,2,0,0,0,0,0,37,249,101,350
Green Bay Packers,1,0,0,0,0,0,28,151,173,324
New York Jets,0,0,0,0,0,0,35,446,50,496
Tennessee Titans,0,0,0,0,0,0,31,249,118,367
