Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Corey Davis,0,0,0,0,0,0,0,0,0,0,11,182,1,0,0,0
Davante Adams,0,0,0,0,0,0,0,0,0,0,10,121,2,0,0,0
Cole Beasley,0,0,0,0,0,0,0,0,0,0,9,130,1,0,0,0
Justin Jefferson,0,0,0,0,0,0,1,2,0,0,9,121,1,0,0,0
Marvin Jones,0,0,0,0,0,0,0,0,0,0,8,116,1,0,0,0
T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,8,110,1,0,0,0
Keke Coutee,0,0,0,0,0,0,0,0,0,0,8,141,0,0,0,0
Adam Thielen,0,0,0,0,0,0,0,0,0,0,8,75,1,0,0,0
Diontae Johnson,0,0,0,0,0,0,0,0,0,0,8,71,1,0,0,0
Rashard Higgins,0,0,0,0,0,0,0,0,0,0,6,95,1,0,0,0
Michael Gallup,0,0,0,0,0,0,0,0,0,0,7,86,1,0,0,0
Jamison Crowder,0,0,0,0,0,0,0,0,0,0,5,47,2,0,0,0
Tim Patrick,0,0,0,0,0,0,0,0,0,0,4,44,2,0,0,0
Jarvis Landry,1,1,6,0,0,0,0,0,0,0,8,62,1,0,0,0
Brandon Aiyuk,0,0,0,0,0,0,0,0,0,0,5,95,1,0,0,0
Michael Thomas,0,0,0,0,0,0,0,0,0,0,9,105,0,0,0,0
DeAndre Hopkins,0,0,0,0,0,0,0,0,0,0,8,52,1,0,0,0
Stefon Diggs,0,0,0,0,0,0,0,0,0,0,10,92,0,0,0,0
Robert Woods,0,0,0,0,0,0,0,0,0,0,10,85,0,0,0,0
Donovan Peoples-Jones,0,0,0,0,0,0,0,0,0,0,2,92,1,0,0,0
James Washington,0,0,0,0,0,0,0,0,0,0,2,80,1,0,0,0
Henry Ruggs,0,0,0,0,0,0,0,0,0,0,3,84,1,0,1,0
Amari Cooper,0,0,0,0,0,0,1,10,0,0,5,43,1,0,0,0
Laviska Shenault,0,0,0,0,0,0,2,30,0,0,3,38,1,0,0,0
Calvin Ridley,0,0,0,0,0,0,0,0,0,0,5,108,0,0,0,0
Cooper Kupp,0,0,0,0,0,0,0,0,0,0,8,73,0,0,0,0
Julio Jones,0,0,0,0,0,0,0,0,0,0,6,94,0,0,0,0
Chad Hansen,0,0,0,0,0,0,0,0,0,0,5,101,0,0,0,0
Russell Gage,0,0,0,0,0,0,0,0,0,0,4,51,1,0,0,0
Gabriel Davis,0,0,0,0,0,0,0,0,0,0,3,68,1,0,0,0
Greg Ward,0,0,0,0,0,0,0,0,0,0,3,57,1,0,0,0
Cam Sims,0,0,0,0,0,0,0,0,0,0,5,92,0,0,0,0
Tyreek Hill,0,0,0,0,0,0,1,30,0,0,6,58,0,0,0,0
Quintez Cephus,0,0,0,0,0,0,0,0,0,0,2,63,1,0,0,0
Marquise Brown,0,0,0,0,0,0,0,0,0,0,5,39,1,0,0,0
Tyler Boyd,1,0,0,0,0,0,0,0,0,0,1,72,1,0,0,0
Tre'Quan Smith,0,0,0,0,0,0,1,3,0,0,3,42,1,0,0,0
Deebo Samuel,0,0,0,0,0,0,1,3,0,0,6,73,0,0,0,0
Allen Robinson,0,0,0,0,0,0,0,0,0,0,6,75,0,0,0,0
D.K. Metcalf,0,0,0,0,0,0,0,0,0,0,5,80,0,0,0,0
Cordarrelle Patterson,0,0,0,0,0,0,10,59,1,0,1,4,0,0,0,0
Tyler Lockett,0,0,0,0,0,0,0,0,0,0,6,63,0,0,0,0
Collin Johnson,0,0,0,0,0,0,0,0,0,0,4,66,0,1,0,0
Isaiah McKenzie,0,0,0,0,0,0,0,0,0,0,2,31,1,0,0,0
Brandin Cooks,0,0,0,0,0,0,0,0,0,0,5,65,0,0,0,0
A.J. Brown,0,0,0,0,0,0,0,0,0,0,4,87,0,0,1,0
Gunner Olszewski,0,0,0,0,0,0,0,0,0,0,1,38,1,0,0,0
Anthony Miller,0,0,0,0,0,0,1,3,0,0,5,56,0,0,0,0
CeeDee Lamb,0,0,0,0,0,0,0,0,0,0,6,46,0,0,0,0
Tee Higgins,0,0,0,0,0,0,0,0,0,0,5,56,0,0,0,0
Miles Boykin,0,0,0,0,0,0,0,0,0,0,1,38,1,0,0,0
Cameron Batson,0,0,0,0,0,0,1,0,0,0,3,14,1,0,0,0
JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,7,28,0,0,0,0
Michael Pittman,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0
N'Keal Harry,0,0,0,0,0,0,0,0,0,0,2,15,1,0,0,0
Lynn Bowden,0,0,0,0,0,0,1,11,0,0,4,41,0,0,0,0
Danny Amendola,0,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0
Keenan Allen,0,0,0,0,0,0,0,0,0,0,5,48,0,0,0,0
Mike Williams,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
Emmanuel Sanders,0,0,0,0,0,0,0,0,0,0,5,39,0,0,0,0
Hunter Renfrow,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,0
Darnell Mooney,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
Denzel Mims,0,0,0,0,0,0,0,0,0,0,2,40,0,1,0,0
Allen Lazard,0,0,0,0,0,0,0,0,0,0,3,50,0,0,0,0
Sammy Watkins,0,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0
Golden Tate,0,0,0,0,0,0,0,0,0,0,4,30,0,0,0,0
DeVante Parker,0,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0
Noah Brown,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0
Kendrick Bourne,0,0,0,0,0,0,0,0,0,0,4,35,0,0,0,0
Nelson Agholor,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0
KeeSean Johnson,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0
Van Jefferson,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0
