Team,Sack,Int,Saf,FR,Blk,TD,PA,PassYds,RushYds,TotYds
Washington Football Team,4,1,0,2,0,2,15,236,108,344
Los Angeles Rams,6,1,0,0,0,1,3,113,107,220
Arizona Cardinals,8,0,0,3,0,0,7,81,78,159
Dallas Cowboys,2,0,0,3,0,1,7,208,101,309
Chicago Bears,7,0,1,2,0,0,7,155,108,263
Buffalo Bills,1,2,0,0,0,1,15,177,47,224
Kansas City Chiefs,4,1,1,0,0,1,27,287,80,367
Seattle Seahawks,3,0,0,1,0,0,3,116,69,185
Indianapolis Colts,0,2,0,1,0,1,27,345,79,424
Los Angeles Chargers,2,3,0,0,0,0,17,249,70,319
Tampa Bay Buccaneers,6,0,0,1,0,0,14,173,162,335
Denver Broncos,4,0,0,0,0,1,27,245,125,370
Miami Dolphins,3,3,0,1,0,0,33,354,94,448
Tennessee Titans,0,1,0,0,1,0,10,263,91,354
Philadelphia Eagles,5,1,0,1,0,0,21,262,96,358
Atlanta Falcons,1,1,0,0,0,0,20,240,105,345
Cleveland Browns,4,0,0,0,1,0,47,154,231,385
Pittsburgh Steelers,1,1,0,1,0,0,26,230,104,334
Green Bay Packers,4,0,0,0,0,0,24,242,51,293
San Francisco 49ers,2,1,0,0,0,0,23,95,98,193
Baltimore Ravens,0,1,1,0,0,0,42,355,138,493
New England Patriots,1,1,0,0,0,0,24,132,186,318
Carolina Panthers,1,0,0,1,0,0,32,269,96,365
Houston Texans,3,0,0,0,0,0,36,241,169,410
Jacksonville Jaguars,1,0,0,1,0,0,31,205,249,454
New Orleans Saints,0,0,0,1,0,0,24,167,246,413
New York Jets,1,1,0,0,0,0,40,236,174,410
Cincinnati Bengals,2,0,0,0,0,0,30,171,101,272
New York Giants,1,0,0,0,0,0,26,231,159,390
Minnesota Vikings,0,0,0,0,0,0,26,196,107,303
Detroit Lions,0,0,0,0,0,0,31,290,120,410
Las Vegas Raiders,0,0,0,0,0,0,44,244,212,456
