Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Calvin Ridley,0,0,0,0,0,0,0,0,0,0,10,163,1,0,0,0
DeAndre Hopkins,0,0,0,0,0,0,1,1,0,0,9,169,1,0,1,0
Marvin Jones,0,0,0,0,0,0,0,0,0,0,10,112,1,0,0,0
Stefon Diggs,0,0,0,0,0,0,0,0,0,0,11,147,0,0,0,0
Zach Pascal,0,0,0,0,0,0,0,0,0,0,5,79,2,0,0,0
Brandon Aiyuk,0,0,0,0,0,0,0,0,0,0,9,73,1,0,0,0
Robert Woods,0,0,0,0,0,0,1,40,0,0,6,56,1,0,0,0
Corey Davis,0,0,0,0,0,0,0,0,0,0,4,110,1,0,0,0
Antonio Brown,0,0,0,0,0,0,0,0,0,0,5,93,1,0,0,0
D.J. Moore,0,0,0,0,0,0,1,1,0,0,6,131,0,0,0,0
Jarvis Landry,0,0,0,0,0,0,0,0,0,0,7,61,1,0,0,0
Diontae Johnson,0,0,0,0,0,0,0,0,0,0,8,59,1,0,0,0
Cole Beasley,0,0,0,0,0,0,0,0,0,0,8,112,0,0,0,0
Justin Jefferson,0,0,0,0,0,0,0,0,0,0,8,104,0,0,0,0
Kendrick Bourne,0,0,0,0,0,0,0,0,0,0,4,86,1,0,0,0
Greg Ward,0,0,0,0,0,0,0,0,0,0,4,15,2,0,0,0
Jakobi Meyers,0,0,0,0,0,0,0,0,0,0,7,111,0,0,1,0
Tyreek Hill,0,0,0,0,0,0,1,1,0,0,6,53,1,0,0,0
Russell Gage,0,0,0,0,0,0,0,0,0,0,5,68,1,0,0,0
Mike Evans,0,0,0,0,0,0,0,0,0,0,6,110,0,0,0,0
Darnell Mooney,0,0,0,0,0,0,1,16,0,0,4,49,1,0,0,0
Tyron Johnson,0,0,0,0,0,0,0,0,0,0,3,61,1,0,0,0
Keke Coutee,0,0,0,0,0,0,0,0,0,0,5,53,1,0,1,0
