Player	Att	Cmp	Yds	TD	Int	2Pt.P	Att.R	Yds.R	TD.R	2Pt.R	Rec	Yds.C	TD.C	2Pt.C	FL	TD.F
Marquez Callaway	0	0	0	0	0	0	0	0	0	0	3	26	0	0	0	0
James Washington	0	0	0	0	0	0	0	0	0	0	2	20	0	0	0	0
Greg Ward	0	0	0	0	0	0	0	0	0	0	2	27	0	0	0	0
Willie Snead	0	0	0	0	0	0	0	0	0	0	2	24	0	0	0	0
Darius Slayton	0	0	0	0	0	0	0	0	0	0	2	26	0	0	0	0
Mohamed Sanu	0	0	0	0	0	0	0	0	0	0	2	22	0	0	0	0
Marvin Jones	0	0	0	0	0	0	0	0	0	0	3	19	0	0	0	0
Tyler Johnson	0	0	0	0	0	0	0	0	0	0	1	35	0	0	0	0
Travis Fulgham	0	0	0	0	0	0	0	0	0	0	2	27	0	0	0	0
Cole Beasley	0	0	0	0	0	0	0	0	0	0	3	17	0	0	0	0
Andre Roberts	0	0	0	0	0	0	0	0	0	0	2	12	0	0	0	0
Anthony Miller	0	0	0	0	0	0	0	0	0	0	2	10	0	0	0	0
Allen Lazard	0	0	0	0	0	0	0	0	0	0	2	14	0	0	0	0
Alshon Jeffery	0	0	0	0	0	0	0	0	0	0	1	22	0	0	0	0
Robert Foster	0	0	0	0	0	0	0	0	0	0	1	28	0	0	0	0
Brandon Aiyuk	0	0	0	0	0	0	1	16	0	0	1	15	0	0	0	0
Nick Westbrook	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	0
Diontae Spencer	0	0	0	0	0	0	1	9	0	0	1	10	0	0	0	0
Olabisi Johnson	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0
Juwan Johnson	0	0	0	0	0	0	0	0	0	0	1	19	0	0	0	0
Marvin Hall	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0
Bryan Edwards	0	0	0	0	0	0	0	0	0	0	1	11	0	0	0	0
Miles Boykin	0	0	0	0	0	0	0	0	0	0	1	13	0	0	0	0
Lynn Bowden	0	0	0	0	0	0	1	8	0	0	2	8	0	0	0	0
Kendrick Bourne	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0
C.J. Board	0	0	0	0	0	0	0	0	0	0	1	16	0	0	0	0
Cameron Batson	0	0	0	0	0	0	0	0	0	0	1	12	0	0	0	0
