Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Deshaun Watson,25,17,318,4,0,1,8,24,0,0,0,0,0,0,0,0
Patrick Mahomes,49,37,462,3,0,0,4,28,0,0,0,0,0,0,1,0
Aaron Rodgers,29,21,211,4,0,0,2,12,0,0,0,0,0,0,0,0
Kirk Cousins,45,34,307,3,0,1,3,19,0,0,0,0,0,0,1,0
Tom Brady,41,27,345,3,2,0,1,-1,0,0,0,0,0,0,0,0
Mitchell Trubisky,46,26,242,3,2,1,3,10,0,0,0,0,0,0,1,0
Ryan Fitzpatrick,39,24,257,2,0,0,3,10,0,0,0,0,0,0,0,0
Carson Wentz,45,25,215,2,1,0,5,42,0,0,0,0,0,0,0,0
Baker Mayfield,29,19,258,2,0,0,4,1,0,0,0,0,0,0,0,0
Philip Rivers,42,24,295,2,1,0,0,0,0,0,0,0,0,0,0,0
Mike Glennon,35,20,235,2,0,0,2,6,0,0,0,0,0,0,0,0
Ryan Tannehill,22,13,221,1,0,0,2,3,1,0,0,0,0,0,0,0
Justin Herbert,52,31,316,1,1,1,2,-2,0,0,0,0,0,0,0,0
Josh Allen,24,18,157,1,1,0,9,32,1,0,0,0,0,0,1,0
Matthew Stafford,42,28,295,1,1,1,1,3,0,0,0,0,0,0,0,0
Matt Ryan,39,22,185,2,1,0,1,5,0,0,0,0,0,0,0,0
Russell Wilson,31,22,230,1,0,0,6,12,0,0,0,0,0,0,0,0
Teddy Bridgewater,36,19,267,1,1,0,2,12,0,0,0,0,0,0,0,0
Ben Roethlisberger,51,36,266,1,1,0,1,-1,0,0,0,0,0,0,0,0
Andy Dalton,35,25,215,1,1,0,3,17,0,0,0,0,0,0,0,0
Jacoby Brissett,2,0,0,0,0,0,4,3,2,0,0,0,0,0,0,0
Trace McSorley,6,2,77,1,0,0,3,16,0,0,0,0,0,0,0,0
Alex Smith,26,19,149,1,1,0,3,1,0,0,0,0,0,0,0,0
Daniel Jones,27,16,213,0,0,0,6,19,0,0,0,0,0,0,0,0
Nick Mullens,35,24,252,0,1,0,0,0,0,0,0,0,0,0,0,0
Brandon Allen,29,17,136,1,1,0,4,7,0,0,0,0,0,0,1,0
Kyler Murray,34,23,170,0,1,0,5,31,0,0,0,0,0,0,0,0
Robert Griffin III,12,7,33,0,1,0,7,68,0,0,0,0,0,0,1,0
Cam Newton,18,9,84,0,2,0,9,46,0,0,0,0,0,0,0,0
Jared Goff,31,19,198,0,2,0,5,11,0,0,0,0,0,0,1,0
Sam Darnold,27,16,197,0,2,0,2,9,0,0,0,0,0,0,0,0
Derek Carr,34,22,215,0,1,0,0,0,0,0,0,0,0,0,3,0
Nathan Peterman,5,3,25,0,0,0,1,9,0,0,0,0,0,0,0,0
Colt McCoy,10,6,31,0,0,0,5,7,0,0,0,0,0,0,0,0
Logan Woodside,0,0,0,0,0,0,3,-5,0,0,0,0,0,0,0,0
Matt Schaub,0,0,0,0,0,0,3,-4,0,0,0,0,0,0,0,0
Jalen Hurts,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Boyle,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
