Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Darren Waller,0,0,0,0,0,0,0,0,0,0,9,117,1,1,1,0
Chris Herndon IV,0,0,0,0,0,0,0,0,0,0,7,63,1,0,0,0
Pharaoh Brown,0,0,0,0,0,0,0,0,0,0,5,48,1,0,0,0
Dalton Schultz,0,0,0,0,0,0,0,0,0,0,7,70,0,0,0,0
Jared Cook,0,0,0,0,0,0,0,0,0,0,4,43,1,0,0,0
George Kittle,0,0,0,0,0,0,0,0,0,0,7,68,0,0,0,0
Austin Hooper,0,0,0,0,0,0,0,0,0,0,4,37,1,0,0,0
Logan Thomas,0,0,0,0,0,0,0,0,0,0,3,37,1,0,0,0
Donald Parham,0,0,0,0,0,0,0,0,0,0,3,37,1,0,0,0
Hayden Hurst,0,0,0,0,0,0,0,0,0,0,4,28,1,0,0,0
Taysom Hill,0,0,0,0,0,0,7,41,1,0,1,5,0,0,0,0
Devin Asiasi,0,0,0,0,0,0,0,0,0,0,2,39,1,0,0,0
Cole Kmet,0,0,0,0,0,0,0,0,0,0,7,41,0,0,1,0
Robert Tonyan,0,0,0,0,0,0,0,0,0,0,2,18,1,0,0,0
Mike Gesicki,0,0,0,0,0,0,0,0,0,0,5,47,0,0,0,0
Troy Fumagalli,0,0,0,0,0,0,0,0,0,0,2,15,1,0,0,0
Vance McDonald,0,0,0,0,0,0,0,0,0,0,5,33,0,0,0,0
Noah Fant,0,0,0,0,0,0,0,0,0,0,4,48,0,0,0,0
Dominique Dafney,0,0,0,0,0,0,0,0,0,0,1,13,1,0,0,0
Stephen Anderson,0,0,0,0,0,0,0,0,0,0,3,52,0,0,0,0
Tyler Higbee,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
Tyler Conklin,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0
Dan Arnold,0,0,0,0,0,0,0,0,0,0,3,46,0,0,0,0
Mark Andrews,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0
Durham Smythe,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
Irv Smith,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
T.J. Hockenson,0,0,0,0,0,0,0,0,0,0,3,25,0,0,0,0
Dawson Knox,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0
Rob Gronkowski,0,0,0,0,0,0,0,0,0,0,2,29,0,0,0,0
Gerald Everett,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0
Zach Ertz,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
Ross Dwelley,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
Jack Doyle,0,0,0,0,0,0,0,0,0,0,3,17,0,0,0,0
Adam Shaheen,0,0,0,0,0,0,0,0,0,0,1,22,0,0,0,0
Drew Sample,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
David Njoku,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
Anthony Firkser,0,0,0,0,0,0,0,0,0,0,2,18,0,0,0,0
Evan Engram,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Will Dissly,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
Cethan Carter,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0
Deon Yelder,0,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0
Levine Toilolo,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Luke Stocker,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Kaden Smith,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
James O'Shaughnessy,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Jimmy Graham,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0
Tyler Eifert,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Daniel Brown,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
Cameron Brate,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Charlie Woerner,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
Adam Trautman,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0
Ian Thomas,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0
Jonnu Smith,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0
Eric Saubert,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Foster Moreau,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0
Marcedes Lewis,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
Dalton Keene,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Jesse James,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
Jacob Hollister,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0
Jordan Akins,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0
