Player,Att,Cmp,Yds,TD,Int,2Pt.P,Att.R,Yds.R,TD.R,2Pt.R,Rec,Yds.C,TD.C,2Pt.C,FL,TD.F
Brandin Cooks,0,0,0,0,0,0,0,0,0,0,11,166,2,0,0,0
Marvin Jones,0,0,0,0,0,0,0,0,0,0,8,180,2,0,0,0
Antonio Brown,0,0,0,0,0,0,0,0,0,0,11,138,2,0,0,0
Sterling Shepard,0,0,0,0,0,0,2,24,1,0,8,112,1,0,0,0
Tyler Lockett,0,0,0,0,0,0,0,0,0,0,12,90,2,0,0,0
A.J. Brown,0,0,0,0,0,0,0,0,0,0,10,151,1,0,0,0
Chris Godwin,0,0,0,0,0,0,0,0,0,0,5,133,2,0,0,0
Jerry Jeudy,0,0,0,0,0,0,0,0,0,0,5,140,1,1,0,0
Russell Gage,0,0,0,0,0,0,1,11,0,0,9,91,1,0,0,0
Laviska Shenault,0,0,0,0,0,0,1,-2,0,0,6,68,2,0,0,0
Isaiah McKenzie,0,0,0,0,0,0,2,0,0,0,6,65,2,0,0,0
Mike Williams,0,0,0,0,0,0,0,0,0,0,6,108,1,0,0,0
Justin Jefferson,0,0,0,0,0,0,0,0,0,0,9,133,0,0,0,0
Emmanuel Sanders,0,0,0,0,0,0,0,0,0,0,9,63,1,0,0,0
Chase Claypool,0,0,0,0,0,0,0,0,0,0,5,101,1,0,0,0
Marquise Brown,0,0,0,0,0,0,0,0,0,0,5,41,2,0,0,0
Darnell Mooney,0,0,0,0,0,0,0,0,0,0,11,93,0,0,0,0
JuJu Smith-Schuster,0,0,0,0,0,0,0,0,0,0,6,65,1,0,0,0
Curtis Samuel,0,0,0,0,0,0,3,3,0,0,7,118,0,0,0,0
DeVante Parker,0,0,0,0,0,0,0,0,0,0,7,116,0,0,0,0
Jakobi Meyers,1,1,19,1,0,0,1,7,0,0,6,68,0,0,0,0
Gabriel Davis,0,0,0,0,0,0,0,0,0,0,2,107,1,0,0,0
Terry McLaurin,0,0,0,0,0,0,0,0,0,0,7,40,1,0,0,0
John Brown,0,0,0,0,0,0,0,0,0,0,4,72,1,0,0,0
Marquez Valdes-Scantling,0,0,0,0,0,0,1,4,0,0,2,87,1,0,0,0
Jarvis Landry,0,0,0,0,0,0,1,3,1,0,5,51,0,0,0,0
Davante Adams,0,0,0,0,0,0,0,0,0,0,6,46,1,0,0,0
Byron Pringle,0,0,0,0,0,0,0,0,0,0,4,52,1,0,0,0
D.J. Moore,0,0,0,0,0,0,0,0,0,0,5,101,0,0,0,0
Keke Coutee,0,0,0,0,0,0,0,0,0,0,6,90,0,0,0,0
Chris Conley,0,0,0,0,0,0,0,0,0,0,7,87,0,0,0,0
Stefon Diggs,0,0,0,0,0,0,0,0,0,0,7,76,0,0,0,0
T.Y. Hilton,0,0,0,0,0,0,0,0,0,0,3,27,1,1,0,0
Bryan Edwards,0,0,0,0,0,0,0,0,0,0,2,51,1,0,0,0
Quintez Cephus,0,0,0,0,0,0,0,0,0,0,2,51,1,0,0,0
Lynn Bowden,1,1,32,0,0,0,1,-7,0,0,8,44,0,0,0,0
Calvin Ridley,0,0,0,0,0,0,1,-6,0,0,8,52,0,0,1,0
Dante Pettis,0,0,0,0,0,0,0,0,0,0,2,43,1,0,0,0
Diontae Johnson,0,0,0,0,0,0,0,0,0,0,3,96,0,0,0,0
Kendrick Bourne,0,0,0,0,0,0,0,0,0,0,5,76,0,0,0,0
Chad Beebe,0,0,0,0,0,0,0,0,0,0,2,44,1,0,0,0
Demarcus Robinson,0,0,0,0,0,0,0,0,0,0,6,58,0,0,0,0
Breshad Perriman,0,0,0,0,0,0,0,0,0,0,3,84,0,0,0,0
Ty Montgomery,0,0,0,0,0,0,18,105,0,0,1,2,0,0,0,0
Miles Boykin,0,0,0,0,0,0,0,0,0,0,1,43,1,0,0,0
Amari Cooper,0,0,0,0,0,0,0,0,0,0,6,41,0,0,0,0
Adam Thielen,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,0
Cam Sims,0,0,0,0,0,0,0,0,0,0,5,43,0,0,0,0
CeeDee Lamb,0,0,0,0,0,0,1,3,0,0,5,43,0,0,0,0
Van Jefferson,0,0,0,0,0,0,0,0,0,0,4,50,0,0,0,0
Richie James,0,0,0,0,0,0,0,0,0,0,3,66,0,0,0,0
